사용일자,9호선,경부선,합계
2019-01-01,17330,7121,24451
2019-01-02,29541,11188,40729
2019-01-03,31068,11784,42852
2019-01-04,33427,12690,46117
2019-01-05,28846,11699,40545
2019-01-06,21204,8559,29763
2019-01-07,32791,12835,45626
2019-01-08,32751,12491,45242
2019-01-09,32112,12339,44451
2019-01-10,33407,12900,46307
2019-01-11,35612,13611,49223
2019-01-12,31187,13331,44518
2019-01-13,21667,8921,30588
2019-01-14,31720,12136,43856
2019-01-15,32468,12264,44732
2019-01-16,32484,12338,44822
2019-01-17,33439,12937,46376
2019-01-18,35346,13712,49058
2019-01-19,31000,13123,44123
2019-01-20,22201,9201,31402
2019-01-21,31707,12116,43823
2019-01-22,31812,12397,44209
2019-01-23,32374,12641,45015
2019-01-24,32904,12652,45556
2019-01-25,34840,13026,47866
2019-01-26,30148,12258,42406
2019-01-27,21564,9030,30594
2019-01-28,31206,12390,43596
2019-01-29,31988,12392,44380
2019-01-30,32114,12820,44934
2019-01-31,32670,12606,45276
2019-02-01,32942,12861,45803
2019-02-02,24104,10921,35025
2019-02-03,16327,6559,22886
2019-02-04,15150,7342,22492
2019-02-05,13634,6635,20269
2019-02-06,18894,8285,27179
2019-02-07,30267,11376,41643
2019-02-08,32712,11766,44478
2019-02-09,29032,11171,40203
2019-02-10,20552,7931,28483
2019-02-11,31275,11782,43057
2019-02-12,32046,12141,44187
2019-02-13,31780,11844,43624
2019-02-14,32097,12362,44459
2019-02-15,34779,12750,47529
2019-02-16,31029,12532,43561
2019-02-17,21790,8815,30605
2019-02-18,31752,11897,43649
2019-02-19,31566,11746,43312
2019-02-20,32151,12113,44264
2019-02-21,32504,12452,44956
2019-02-22,35075,12814,47889
2019-02-23,32165,13384,45549
2019-02-24,23990,9609,33599
2019-02-25,32349,12349,44698
2019-02-26,33312,12715,46027
2019-02-27,32970,12629,45599
2019-02-28,34938,13254,48192
2019-03-01,27689,12070,39759
2019-03-02,27509,11376,38885
2019-03-03,21234,8494,29728
2019-03-04,31942,12362,44304
2019-03-05,32024,12524,44548
2019-03-06,32355,12689,45044
2019-03-07,33793,13421,47214
2019-03-08,36280,14101,50381
2019-03-09,32393,13308,45701
2019-03-10,22996,9091,32087
2019-03-11,32831,12789,45620
2019-03-12,32697,12856,45553
2019-03-13,33447,13036,46483
2019-03-14,34228,13153,47381
2019-03-15,35623,13219,48842
2019-03-16,32062,13099,45161
2019-03-17,23796,9464,33260
2019-03-18,32572,12845,45417
