사용일자,6호선,합계
2019-01,184163,184163
2019-02,163877,163877
2019-03,206826,206826
2019-04,189282,189282
2019-05,201056,201056
2019-06,190957,190957
2019-07,189336,189336
2019-08,186032,186032
2019-09,176666,176666
2019-10,213303,213303
2019-11,189835,189835
2019-12,198188,198188
2020-01,163945,163945
2020-02,145295,145295
2020-03,120071,120071
2020-04,122754,122754
2020-05,109678,109678
2020-06,113914,113914
2020-07,133985,133985
2020-08,111407,111407
2020-09,108168,108168
2020-10,133959,133959
2020-11,124563,124563
2020-12,94512,94512
2021-01,100492,100492
2021-02,109304,109304
2021-03,136109,136109
2021-04,137344,137344
2021-05,143197,143197
2021-06,142041,142041
2021-07,116364,116364
2021-08,117631,117631
2021-09,124487,124487
2021-10,141685,141685
2021-11,140467,140467
2021-12,137589,137589
2022-01,125987,125987
2022-02,106101,106101
2022-03,124496,124496
2022-04,147431,147431
2022-05,169767,169767
2022-06,154817,154817
2022-07,157767,157767
2022-08,151453,151453
2022-09,162311,162311
2022-10,182995,182995
2022-11,142990,142990
2022-12,154523,154523
2023-01,127922,127922
2023-02,135605,135605
2023-03,159939,159939
2023-04,156863,156863
2023-05,162291,162291
2023-06,157324,157324
