사용일자,6호선,합계
2019-01-01,3169,3169
2019-01-02,5413,5413
2019-01-03,5918,5918
2019-01-04,6869,6869
2019-01-05,6950,6950
2019-01-06,4668,4668
2019-01-07,5308,5308
2019-01-08,5687,5687
2019-01-09,5614,5614
2019-01-10,5954,5954
2019-01-11,7109,7109
2019-01-12,7875,7875
2019-01-13,4856,4856
2019-01-14,5290,5290
2019-01-15,5630,5630
2019-01-16,6066,6066
2019-01-17,6179,6179
2019-01-18,7244,7244
2019-01-19,7368,7368
2019-01-20,4865,4865
2019-01-21,5267,5267
2019-01-22,5855,5855
2019-01-23,6153,6153
2019-01-24,6064,6064
2019-01-25,7120,7120
2019-01-26,7451,7451
2019-01-27,4875,4875
2019-01-28,5397,5397
2019-01-29,5865,5865
2019-01-30,6261,6261
2019-01-31,5823,5823
2019-02-01,6430,6430
2019-02-02,5749,5749
2019-02-03,3389,3389
2019-02-04,2641,2641
2019-02-05,2551,2551
2019-02-06,3978,3978
2019-02-07,5312,5312
2019-02-08,6489,6489
2019-02-09,6733,6733
2019-02-10,4487,4487
2019-02-11,5340,5340
2019-02-12,5878,5878
2019-02-13,6182,6182
2019-02-14,6545,6545
2019-02-15,6967,6967
2019-02-16,7652,7652
2019-02-17,5033,5033
2019-02-18,5626,5626
2019-02-19,5791,5791
2019-02-20,6253,6253
2019-02-21,6488,6488
2019-02-22,7398,7398
2019-02-23,8850,8850
2019-02-24,5549,5549
2019-02-25,5746,5746
2019-02-26,6494,6494
2019-02-27,6722,6722
2019-02-28,7604,7604
2019-03-01,7848,7848
2019-03-02,7458,7458
2019-03-03,5302,5302
2019-03-04,5590,5590
2019-03-05,6066,6066
2019-03-06,6149,6149
2019-03-07,6438,6438
2019-03-08,7546,7546
2019-03-09,8661,8661
2019-03-10,5471,5471
2019-03-11,5608,5608
2019-03-12,6053,6053
2019-03-13,6536,6536
2019-03-14,7070,7070
2019-03-15,7363,7363
2019-03-16,9160,9160
2019-03-17,6066,6066
2019-03-18,5824,5824
2019-03-19,6413,6413
2019-03-20,6146,6146
2019-03-21,6408,6408
2019-03-22,7798,7798
2019-03-23,8333,8333
2019-03-24,5832,5832
2019-03-25,5576,5576
2019-03-26,6634,6634
2019-03-27,6265,6265
2019-03-28,6754,6754
2019-03-29,7696,7696
2019-03-30,7665,7665
2019-03-31,5097,5097
2019-04-01,5576,5576
2019-04-02,5996,5996
2019-04-03,6237,6237
2019-04-04,6158,6158
2019-04-05,7334,7334
2019-04-06,7485,7485
2019-04-07,5478,5478
2019-04-08,5561,5561
2019-04-09,5562,5562
2019-04-10,5711,5711
2019-04-11,6232,6232
2019-04-12,7200,7200
2019-04-13,8218,8218
2019-04-14,4524,4524
2019-04-15,5688,5688
2019-04-16,6045,6045
2019-04-17,6278,6278
2019-04-18,6064,6064
2019-04-19,7406,7406
2019-04-20,8210,8210
2019-04-21,5063,5063
2019-04-22,5645,5645
2019-04-23,5887,5887
2019-04-24,6036,6036
2019-04-25,5785,5785
2019-04-26,7018,7018
2019-04-27,8913,8913
2019-04-28,5384,5384
2019-04-29,5927,5927
2019-04-30,6661,6661
2019-05-01,6831,6831
2019-05-02,6589,6589
2019-05-03,7475,7475
2019-05-04,8187,8187
2019-05-05,6716,6716
2019-05-06,5021,5021
2019-05-07,5817,5817
2019-05-08,5815,5815
2019-05-09,6364,6364
2019-05-10,7382,7382
2019-05-11,8179,8179
2019-05-12,5401,5401
2019-05-13,5580,5580
2019-05-14,6064,6064
2019-05-15,6375,6375
2019-05-16,6462,6462
2019-05-17,7674,7674
2019-05-18,8584,8584
2019-05-19,4286,4286
2019-05-20,5704,5704
2019-05-21,6296,6296
2019-05-22,6029,6029
2019-05-23,6117,6117
2019-05-24,7681,7681
2019-05-25,8285,8285
2019-05-26,5195,5195
2019-05-27,5212,5212
2019-05-28,6085,6085
2019-05-29,6158,6158
2019-05-30,6140,6140
2019-05-31,7352,7352
2019-06-01,8163,8163
2019-06-02,4853,4853
2019-06-03,5355,5355
2019-06-04,5850,5850
2019-06-05,6632,6632
2019-06-06,5093,5093
2019-06-07,6371,6371
2019-06-08,7371,7371
2019-06-09,4237,4237
2019-06-10,5212,5212
2019-06-11,5870,5870
2019-06-12,5931,5931
2019-06-13,6166,6166
2019-06-14,7550,7550
2019-06-15,7696,7696
2019-06-16,4759,4759
2019-06-17,5656,5656
2019-06-18,5709,5709
2019-06-19,6140,6140
2019-06-20,6632,6632
2019-06-21,7713,7713
2019-06-22,8496,8496
2019-06-23,5549,5549
2019-06-24,5890,5890
2019-06-25,7146,7146
2019-06-26,6366,6366
2019-06-27,6692,6692
2019-06-28,7754,7754
2019-06-29,8255,8255
2019-06-30,5850,5850
2019-07-01,5819,5819
2019-07-02,6471,6471
2019-07-03,6509,6509
2019-07-04,6821,6821
2019-07-05,7661,7661
2019-07-06,7946,7946
2019-07-07,5149,5149
2019-07-08,5491,5491
2019-07-09,6319,6319
2019-07-10,6144,6144
2019-07-11,6093,6093
2019-07-12,7375,7375
2019-07-13,7927,7927
2019-07-14,5384,5384
2019-07-15,5287,5287
2019-07-16,5870,5870
2019-07-17,6285,6285
2019-07-18,6511,6511
2019-07-19,7150,7150
2019-07-20,6597,6597
2019-07-21,4641,4641
2019-07-22,5396,5396
2019-07-23,5864,5864
2019-07-24,5790,5790
2019-07-25,5952,5952
2019-07-26,6115,6115
2019-07-27,6229,6229
2019-07-28,4076,4076
2019-07-29,5295,5295
2019-07-30,5662,5662
2019-07-31,5507,5507
2019-08-01,6249,6249
2019-08-02,6948,6948
2019-08-03,6189,6189
2019-08-04,4564,4564
2019-08-05,5085,5085
2019-08-06,5368,5368
2019-08-07,5445,5445
2019-08-08,5741,5741
2019-08-09,6460,6460
2019-08-10,6039,6039
2019-08-11,4344,4344
2019-08-12,4702,4702
2019-08-13,5730,5730
2019-08-14,6498,6498
2019-08-15,4607,4607
2019-08-16,6327,6327
2019-08-17,6612,6612
2019-08-18,4802,4802
2019-08-19,5363,5363
2019-08-20,6177,6177
2019-08-21,6191,6191
2019-08-22,6259,6259
2019-08-23,7387,7387
2019-08-24,7869,7869
2019-08-25,5497,5497
2019-08-26,5665,5665
2019-08-27,6191,6191
2019-08-28,6343,6343
2019-08-29,6172,6172
2019-08-30,7507,7507
2019-08-31,7701,7701
2019-09-01,5144,5144
2019-09-02,5674,5674
2019-09-03,6062,6062
2019-09-04,5929,5929
2019-09-05,5580,5580
2019-09-06,6879,6879
2019-09-07,3601,3601
2019-09-08,5100,5100
2019-09-09,5527,5527
2019-09-10,5635,5635
2019-09-11,6527,6527
2019-09-12,3494,3494
2019-09-13,3559,3559
2019-09-14,5311,5311
2019-09-15,4511,4511
2019-09-16,5230,5230
2019-09-17,6129,6129
