사용일자,6호선,합계
2019-01,476037,476037
2019-02,406959,406959
2019-03,485188,485188
2019-04,477717,477717
2019-05,496487,496487
2019-06,453353,453353
2019-07,472710,472710
2019-08,463870,463870
2019-09,446775,446775
2019-10,500819,500819
2019-11,484656,484656
2019-12,498935,498935
2020-01,463466,463466
2020-02,397768,397768
2020-03,344498,344498
2020-04,368253,368253
2020-05,406226,406226
2020-06,406333,406333
2020-07,441682,441682
2020-08,365387,365387
2020-09,356654,356654
2020-10,402740,402740
2020-11,403392,403392
2020-12,323341,323341
2021-01,340455,340455
2021-02,360801,360801
2021-03,425832,425832
2021-04,418966,418966
2021-05,428393,428393
2021-06,424670,424670
2021-07,376662,376662
2021-08,375210,375210
2021-09,387734,387734
2021-10,410377,410377
2021-11,417703,417703
2021-12,420861,420861
2022-01,413954,413954
2022-02,345349,345349
2022-03,380718,380718
2022-04,422840,422840
2022-05,459049,459049
2022-06,428218,428218
2022-07,439311,439311
2022-08,433267,433267
2022-09,437410,437410
2022-10,460807,460807
2022-11,448929,448929
2022-12,466558,466558
2023-01,430955,430955
2023-02,437009,437009
2023-03,487759,487759
2023-04,470945,470945
2023-05,479514,479514
2023-06,467239,467239
