사용일자,6호선,합계
2019-01-01,7344,7344
2019-01-02,15380,15380
2019-01-03,16279,16279
2019-01-04,17304,17304
2019-01-05,13910,13910
2019-01-06,9970,9970
2019-01-07,15782,15782
2019-01-08,16562,16562
2019-01-09,16143,16143
2019-01-10,16877,16877
2019-01-11,17519,17519
2019-01-12,14716,14716
2019-01-13,10072,10072
2019-01-14,15632,15632
2019-01-15,16440,16440
2019-01-16,16934,16934
2019-01-17,16973,16973
2019-01-18,17578,17578
2019-01-19,14856,14856
2019-01-20,10712,10712
2019-01-21,15997,15997
2019-01-22,17023,17023
2019-01-23,16956,16956
2019-01-24,17053,17053
2019-01-25,18176,18176
2019-01-26,15334,15334
2019-01-27,10516,10516
2019-01-28,16502,16502
2019-01-29,17159,17159
2019-01-30,17336,17336
2019-01-31,17002,17002
2019-02-01,17094,17094
2019-02-02,12522,12522
2019-02-03,7718,7718
2019-02-04,7095,7095
2019-02-05,5203,5203
2019-02-06,7702,7702
2019-02-07,15674,15674
2019-02-08,16558,16558
2019-02-09,13854,13854
2019-02-10,9758,9758
2019-02-11,16256,16256
2019-02-12,17191,17191
2019-02-13,17189,17189
2019-02-14,17269,17269
2019-02-15,17730,17730
2019-02-16,15191,15191
2019-02-17,10670,10670
2019-02-18,16564,16564
2019-02-19,16596,16596
2019-02-20,17306,17306
2019-02-21,17442,17442
2019-02-22,17952,17952
2019-02-23,15721,15721
2019-02-24,11203,11203
2019-02-25,16599,16599
2019-02-26,17487,17487
2019-02-27,17348,17348
2019-02-28,18067,18067
2019-03-01,13904,13904
2019-03-02,13482,13482
2019-03-03,10334,10334
2019-03-04,16138,16138
2019-03-05,16496,16496
2019-03-06,16919,16919
2019-03-07,17516,17516
2019-03-08,18559,18559
2019-03-09,15960,15960
2019-03-10,10629,10629
2019-03-11,16600,16600
2019-03-12,16833,16833
2019-03-13,17389,17389
2019-03-14,17418,17418
2019-03-15,18003,18003
2019-03-16,15963,15963
2019-03-17,11428,11428
2019-03-18,16341,16341
