사용일자,2호선,합계
2019-01-01,6183,6183
2019-01-02,22829,22829
2019-01-03,23810,23810
2019-01-04,24140,24140
2019-01-05,13282,13282
2019-01-06,8322,8322
2019-01-07,23875,23875
2019-01-08,24189,24189
2019-01-09,23618,23618
2019-01-10,24461,24461
2019-01-11,24731,24731
2019-01-12,13798,13798
2019-01-13,7961,7961
2019-01-14,24001,24001
2019-01-15,23760,23760
2019-01-16,24151,24151
2019-01-17,24496,24496
2019-01-18,24853,24853
2019-01-19,14308,14308
2019-01-20,8854,8854
2019-01-21,24179,24179
2019-01-22,24492,24492
2019-01-23,24623,24623
2019-01-24,24744,24744
2019-01-25,24734,24734
2019-01-26,13498,13498
2019-01-27,8210,8210
2019-01-28,24023,24023
2019-01-29,24176,24176
2019-01-30,24655,24655
2019-01-31,24418,24418
2019-02-01,22989,22989
2019-02-02,9759,9759
2019-02-03,5820,5820
2019-02-04,4736,4736
2019-02-05,4316,4316
2019-02-06,6682,6682
2019-02-07,22213,22213
2019-02-08,23255,23255
2019-02-09,12767,12767
2019-02-10,8203,8203
2019-02-11,24574,24574
2019-02-12,24882,24882
2019-02-13,25000,25000
2019-02-14,24908,24908
2019-02-15,25454,25454
2019-02-16,14793,14793
2019-02-17,8996,8996
2019-02-18,24846,24846
2019-02-19,24904,24904
2019-02-20,24935,24935
2019-02-21,25134,25134
2019-02-22,25660,25660
2019-02-23,15317,15317
2019-02-24,9447,9447
2019-02-25,24845,24845
2019-02-26,25204,25204
2019-02-27,25232,25232
2019-02-28,25358,25358
2019-03-01,10879,10879
2019-03-02,12119,12119
2019-03-03,8828,8828
2019-03-04,24282,24282
2019-03-05,24658,24658
2019-03-06,24719,24719
2019-03-07,25237,25237
2019-03-08,25792,25792
2019-03-09,15405,15405
2019-03-10,8232,8232
2019-03-11,24756,24756
2019-03-12,24656,24656
2019-03-13,24869,24869
2019-03-14,25281,25281
2019-03-15,25232,25232
2019-03-16,14968,14968
2019-03-17,9172,9172
2019-03-18,24490,24490
2019-03-19,24993,24993
2019-03-20,24698,24698
2019-03-21,25045,25045
2019-03-22,25235,25235
2019-03-23,14466,14466
2019-03-24,8438,8438
2019-03-25,24602,24602
2019-03-26,24851,24851
2019-03-27,24907,24907
2019-03-28,24782,24782
2019-03-29,25190,25190
2019-03-30,13756,13756
2019-03-31,8930,8930
2019-04-01,24129,24129
2019-04-02,24713,24713
2019-04-03,24705,24705
2019-04-04,24766,24766
2019-04-05,24686,24686
2019-04-06,14230,14230
2019-04-07,9158,9158
2019-04-08,24457,24457
2019-04-09,24662,24662
2019-04-10,24713,24713
2019-04-11,25118,25118
2019-04-12,24851,24851
2019-04-13,14497,14497
2019-04-14,7937,7937
2019-04-15,24617,24617
2019-04-16,24672,24672
2019-04-17,24928,24928
2019-04-18,24539,24539
2019-04-19,24693,24693
2019-04-20,14552,14552
2019-04-21,8934,8934
2019-04-22,24136,24136
2019-04-23,24359,24359
2019-04-24,24491,24491
2019-04-25,24530,24530
2019-04-26,24915,24915
2019-04-27,15338,15338
2019-04-28,8756,8756
2019-04-29,24080,24080
2019-04-30,25249,25249
2019-05-01,13346,13346
2019-05-02,24547,24547
2019-05-03,24816,24816
2019-05-04,12550,12550
2019-05-05,9589,9589
2019-05-06,9788,9788
2019-05-07,24332,24332
2019-05-08,24653,24653
2019-05-09,24966,24966
2019-05-10,25465,25465
2019-05-11,15009,15009
2019-05-12,8969,8969
2019-05-13,24411,24411
2019-05-14,25188,25188
2019-05-15,25828,25828
2019-05-16,25002,25002
2019-05-17,25056,25056
2019-05-18,14121,14121
2019-05-19,8980,8980
2019-05-20,24141,24141
2019-05-21,24793,24793
2019-05-22,25097,25097
2019-05-23,24935,24935
2019-05-24,24856,24856
2019-05-25,14704,14704
2019-05-26,9321,9321
2019-05-27,23598,23598
2019-05-28,24788,24788
2019-05-29,24876,24876
2019-05-30,24327,24327
2019-05-31,24848,24848
2019-06-01,14630,14630
2019-06-02,10002,10002
2019-06-03,23915,23915
2019-06-04,24477,24477
2019-06-05,25247,25247
2019-06-06,9609,9609
2019-06-07,21447,21447
2019-06-08,13318,13318
2019-06-09,8214,8214
2019-06-10,23771,23771
2019-06-11,24898,24898
2019-06-12,24912,24912
2019-06-13,24645,24645
2019-06-14,24596,24596
2019-06-15,14254,14254
2019-06-16,9321,9321
2019-06-17,24183,24183
2019-06-18,24267,24267
2019-06-19,24927,24927
2019-06-20,25184,25184
2019-06-21,24755,24755
2019-06-22,14585,14585
2019-06-23,9349,9349
2019-06-24,24439,24439
2019-06-25,24737,24737
2019-06-26,24841,24841
2019-06-27,24762,24762
2019-06-28,24698,24698
2019-06-29,13608,13608
2019-06-30,9256,9256
2019-07-01,24116,24116
2019-07-02,24808,24808
2019-07-03,24678,24678
2019-07-04,25171,25171
2019-07-05,24699,24699
2019-07-06,13830,13830
2019-07-07,9201,9201
2019-07-08,24443,24443
2019-07-09,24741,24741
2019-07-10,24899,24899
2019-07-11,24564,24564
2019-07-12,25656,25656
2019-07-13,13506,13506
2019-07-14,8298,8298
2019-07-15,24115,24115
2019-07-16,24887,24887
2019-07-17,24934,24934
2019-07-18,24693,24693
2019-07-19,24849,24849
2019-07-20,12434,12434
2019-07-21,8668,8668
2019-07-22,24177,24177
2019-07-23,24710,24710
2019-07-24,24042,24042
2019-07-25,24339,24339
2019-07-26,23657,23657
2019-07-27,12308,12308
2019-07-28,7422,7422
2019-07-29,23012,23012
2019-07-30,23147,23147
2019-07-31,21672,21672
2019-08-01,21722,21722
2019-08-02,21565,21565
2019-08-03,11191,11191
2019-08-04,8054,8054
2019-08-05,22069,22069
2019-08-06,22885,22885
2019-08-07,22612,22612
2019-08-08,23495,23495
2019-08-09,23557,23557
2019-08-10,12147,12147
2019-08-11,7721,7721
2019-08-12,22898,22898
2019-08-13,23955,23955
2019-08-14,23975,23975
2019-08-15,9171,9171
2019-08-16,21456,21456
2019-08-17,11735,11735
2019-08-18,9764,9764
2019-08-19,23444,23444
2019-08-20,24111,24111
2019-08-21,24243,24243
2019-08-22,24214,24214
2019-08-23,24687,24687
2019-08-24,14197,14197
2019-08-25,8538,8538
2019-08-26,23924,23924
2019-08-27,24335,24335
2019-08-28,24276,24276
2019-08-29,23899,23899
2019-08-30,24937,24937
2019-08-31,14500,14500
2019-09-01,9313,9313
2019-09-02,24488,24488
2019-09-03,24735,24735
2019-09-04,23871,23871
2019-09-05,24209,24209
2019-09-06,25072,25072
2019-09-07,10211,10211
2019-09-08,9019,9019
2019-09-09,24632,24632
2019-09-10,24610,24610
2019-09-11,22567,22567
2019-09-12,5702,5702
2019-09-13,4493,4493
2019-09-14,6814,6814
2019-09-15,7828,7828
2019-09-16,23297,23297
2019-09-17,24822,24822
2019-09-18,24758,24758
2019-09-19,24952,24952
2019-09-20,25551,25551
2019-09-21,15570,15570
2019-09-22,8521,8521
2019-09-23,24707,24707
2019-09-24,25325,25325
2019-09-25,25153,25153
2019-09-26,25412,25412
2019-09-27,25240,25240
2019-09-28,16910,16910
2019-09-29,10232,10232
2019-09-30,25089,25089
2019-10-01,25751,25751
2019-10-02,25225,25225
2019-10-03,10881,10881
2019-10-04,23423,23423
2019-10-05,15186,15186
2019-10-06,10567,10567
2019-10-07,24162,24162
2019-10-08,25834,25834
2019-10-09,11582,11582
2019-10-10,24854,24854
2019-10-11,25436,25436
2019-10-12,15605,15605
2019-10-13,9764,9764
2019-10-14,24846,24846
2019-10-15,25456,25456
2019-10-16,25394,25394
2019-10-17,25210,25210
2019-10-18,25524,25524
2019-10-19,16044,16044
2019-10-20,10757,10757
2019-10-21,24657,24657
2019-10-22,25355,25355
2019-10-23,25174,25174
2019-10-24,25314,25314
2019-10-25,25974,25974
2019-10-26,16454,16454
2019-10-27,10656,10656
2019-10-28,24769,24769
2019-10-29,25399,25399
2019-10-30,25608,25608
2019-10-31,25257,25257
2019-11-01,24933,24933
2019-11-02,15330,15330
2019-11-03,10330,10330
2019-11-04,24772,24772
2019-11-05,25181,25181
2019-11-06,25410,25410
2019-11-07,25715,25715
2019-11-08,25871,25871
2019-11-09,15102,15102
2019-11-10,9353,9353
2019-11-11,25031,25031
2019-11-12,25281,25281
2019-11-13,25407,25407
2019-11-14,24773,24773
2019-11-15,25010,25010
2019-11-16,15098,15098
2019-11-17,9119,9119
2019-11-18,24787,24787
2019-11-19,25277,25277
2019-11-20,25159,25159
2019-11-21,25261,25261
2019-11-22,25713,25713
2019-11-23,15948,15948
2019-11-24,8837,8837
2019-11-25,24876,24876
2019-11-26,25489,25489
2019-11-27,25680,25680
2019-11-28,25488,25488
2019-11-29,26006,26006
2019-11-30,15274,15274
2019-12-01,9404,9404
2019-12-02,24795,24795
2019-12-03,25229,25229
2019-12-04,25487,25487
2019-12-05,25520,25520
2019-12-06,25410,25410
2019-12-07,15044,15044
2019-12-08,9095,9095
2019-12-09,24579,24579
2019-12-10,25493,25493
2019-12-11,25849,25849
2019-12-12,25934,25934
2019-12-13,26253,26253
2019-12-14,16662,16662
2019-12-15,10494,10494
2019-12-16,24712,24712
2019-12-17,25134,25134
2019-12-18,25780,25780
2019-12-19,26104,26104
2019-12-20,26539,26539
2019-12-21,15752,15752
2019-12-22,9303,9303
2019-12-23,25298,25298
2019-12-24,25894,25894
2019-12-25,10312,10312
2019-12-26,24530,24530
2019-12-27,25284,25284
2019-12-28,14267,14267
2019-12-29,9421,9421
2019-12-30,24352,24352
2019-12-31,22197,22197
2020-01-01,6303,6303
2020-01-02,23762,23762
2020-01-03,24936,24936
2020-01-04,13012,13012
2020-01-05,8563,8563
2020-01-06,24678,24678
2020-01-07,24600,24600
2020-01-08,24991,24991
2020-01-09,25291,25291
2020-01-10,25694,25694
2020-01-11,15105,15105
2020-01-12,8407,8407
2020-01-13,25089,25089
2020-01-14,25228,25228
2020-01-15,25362,25362
2020-01-16,25507,25507
2020-01-17,25636,25636
2020-01-18,13903,13903
2020-01-19,9000,9000
2020-01-20,25151,25151
2020-01-21,25337,25337
2020-01-22,24865,24865
2020-01-23,23074,23074
2020-01-24,5451,5451
2020-01-25,4262,4262
2020-01-26,5950,5950
2020-01-27,7439,7439
