사용일자,분당선,합계
2019-01-01,2524,2524
2019-01-02,7954,7954
2019-01-03,8392,8392
2019-01-04,8431,8431
2019-01-05,5648,5648
2019-01-06,3774,3774
2019-01-07,8289,8289
2019-01-08,8557,8557
2019-01-09,8250,8250
2019-01-10,8626,8626
2019-01-11,8514,8514
2019-01-12,5830,5830
2019-01-13,3822,3822
2019-01-14,7914,7914
2019-01-15,8376,8376
2019-01-16,8509,8509
2019-01-17,8707,8707
2019-01-18,8778,8778
2019-01-19,5838,5838
2019-01-20,4083,4083
2019-01-21,8056,8056
2019-01-22,8752,8752
2019-01-23,8632,8632
2019-01-24,8849,8849
2019-01-25,8952,8952
2019-01-26,6184,6184
2019-01-27,4110,4110
2019-01-28,8088,8088
2019-01-29,8878,8878
2019-01-30,9163,9163
2019-01-31,8442,8442
2019-02-01,8091,8091
2019-02-02,4178,4178
2019-02-03,2517,2517
2019-02-04,1967,1967
2019-02-05,2306,2306
2019-02-06,3303,3303
2019-02-07,7868,7868
2019-02-08,8359,8359
2019-02-09,5539,5539
2019-02-10,3927,3927
2019-02-11,8119,8119
2019-02-12,8823,8823
2019-02-13,8791,8791
2019-02-14,9031,9031
2019-02-15,8896,8896
2019-02-16,6844,6844
2019-02-17,4349,4349
2019-02-18,8336,8336
2019-02-19,8984,8984
2019-02-20,8987,8987
2019-02-21,9113,9113
2019-02-22,9229,9229
2019-02-23,7206,7206
2019-02-24,5247,5247
2019-02-25,8654,8654
2019-02-26,9590,9590
2019-02-27,9564,9564
2019-02-28,9186,9186
2019-03-01,6058,6058
2019-03-02,6043,6043
2019-03-03,4442,4442
2019-03-04,8397,8397
2019-03-05,8469,8469
2019-03-06,8651,8651
2019-03-07,9363,9363
2019-03-08,9603,9603
2019-03-09,8028,8028
2019-03-10,5132,5132
2019-03-11,8505,8505
2019-03-12,8959,8959
2019-03-13,9157,9157
2019-03-14,9099,9099
2019-03-15,9645,9645
2019-03-16,8047,8047
2019-03-17,7104,7104
2019-03-18,8903,8903
2019-03-19,9540,9540
2019-03-20,9047,9047
2019-03-21,9375,9375
2019-03-22,9665,9665
2019-03-23,7449,7449
2019-03-24,6094,6094
2019-03-25,8728,8728
2019-03-26,9078,9078
2019-03-27,9181,9181
2019-03-28,9174,9174
2019-03-29,9686,9686
2019-03-30,6587,6587
2019-03-31,5127,5127
2019-04-01,9027,9027
2019-04-02,9419,9419
2019-04-03,9526,9526
2019-04-04,9940,9940
2019-04-05,10623,10623
2019-04-06,8759,8759
2019-04-07,10516,10516
2019-04-08,10894,10894
2019-04-09,10039,10039
2019-04-10,9479,9479
2019-04-11,10994,10994
2019-04-12,11958,11958
2019-04-13,14732,14732
2019-04-14,5257,5257
2019-04-15,9972,9972
2019-04-16,10243,10243
2019-04-17,10219,10219
2019-04-18,9504,9504
2019-04-19,10324,10324
2019-04-20,10608,10608
2019-04-21,6083,6083
2019-04-22,9803,9803
2019-04-23,9635,9635
2019-04-24,10105,10105
2019-04-25,9612,9612
2019-04-26,9841,9841
2019-04-27,11189,11189
2019-04-28,7794,7794
2019-04-29,9380,9380
2019-04-30,10320,10320
2019-05-01,8905,8905
2019-05-02,10362,10362
2019-05-03,11663,11663
2019-05-04,10690,10690
2019-05-05,8474,8474
2019-05-06,9370,9370
2019-05-07,9966,9966
2019-05-08,9969,9969
2019-05-09,10828,10828
2019-05-10,12127,12127
2019-05-11,12026,12026
2019-05-12,7340,7340
2019-05-13,9536,9536
2019-05-14,10242,10242
2019-05-15,14270,14270
2019-05-16,10064,10064
2019-05-17,11431,11431
2019-05-18,9883,9883
2019-05-19,4405,4405
2019-05-20,9872,9872
2019-05-21,10248,10248
2019-05-22,10410,10410
2019-05-23,10163,10163
2019-05-24,10510,10510
2019-05-25,10881,10881
2019-05-26,7597,7597
2019-05-27,8656,8656
2019-05-28,10151,10151
2019-05-29,10208,10208
2019-05-30,9815,9815
2019-05-31,10483,10483
2019-06-01,9101,9101
2019-06-02,6294,6294
2019-06-03,9320,9320
2019-06-04,10158,10158
2019-06-05,9870,9870
2019-06-06,6079,6079
2019-06-07,7978,7978
2019-06-08,8690,8690
2019-06-09,4856,4856
2019-06-10,8834,8834
2019-06-11,9608,9608
2019-06-12,9731,9731
2019-06-13,9694,9694
2019-06-14,9895,9895
2019-06-15,8496,8496
2019-06-16,6576,6576
2019-06-17,9409,9409
2019-06-18,9341,9341
2019-06-19,9908,9908
2019-06-20,9962,9962
2019-06-21,10042,10042
2019-06-22,9030,9030
2019-06-23,6415,6415
2019-06-24,9731,9731
2019-06-25,10126,10126
2019-06-26,9720,9720
2019-06-27,9736,9736
2019-06-28,10078,10078
2019-06-29,7273,7273
2019-06-30,5622,5622
2019-07-01,9341,9341
2019-07-02,10025,10025
2019-07-03,9813,9813
2019-07-04,10096,10096
2019-07-05,9965,9965
2019-07-06,7462,7462
2019-07-07,5014,5014
2019-07-08,9217,9217
2019-07-09,9933,9933
2019-07-10,9791,9791
2019-07-11,9331,9331
2019-07-12,10131,10131
2019-07-13,7678,7678
2019-07-14,5121,5121
2019-07-15,9011,9011
2019-07-16,9750,9750
2019-07-17,9651,9651
2019-07-18,9803,9803
2019-07-19,9875,9875
2019-07-20,6203,6203
2019-07-21,3938,3938
2019-07-22,9029,9029
2019-07-23,9557,9557
2019-07-24,9500,9500
2019-07-25,9553,9553
2019-07-26,8679,8679
2019-07-27,6546,6546
2019-07-28,3946,3946
2019-07-29,8900,8900
2019-07-30,9447,9447
2019-07-31,8951,8951
2019-08-01,9222,9222
2019-08-02,9425,9425
2019-08-03,5707,5707
2019-08-04,4154,4154
2019-08-05,8364,8364
2019-08-06,8861,8861
2019-08-07,8862,8862
2019-08-08,9479,9479
2019-08-09,9673,9673
2019-08-10,6658,6658
2019-08-11,4511,4511
2019-08-12,8116,8116
2019-08-13,9594,9594
2019-08-14,9398,9398
2019-08-15,4859,4859
2019-08-16,8781,8781
2019-08-17,6971,6971
2019-08-18,5284,5284
2019-08-19,9226,9226
2019-08-20,10078,10078
2019-08-21,10119,10119
2019-08-22,10062,10062
2019-08-23,10299,10299
2019-08-24,8776,8776
2019-08-25,6132,6132
2019-08-26,9308,9308
2019-08-27,9936,9936
2019-08-28,10109,10109
2019-08-29,9535,9535
2019-08-30,10440,10440
2019-08-31,10305,10305
2019-09-01,6186,6186
2019-09-02,9727,9727
2019-09-03,9802,9802
2019-09-04,9379,9379
2019-09-05,9215,9215
2019-09-06,9884,9884
2019-09-07,4322,4322
2019-09-08,4961,4961
2019-09-09,9387,9387
2019-09-10,9619,9619
2019-09-11,8929,8929
2019-09-12,2898,2898
2019-09-13,3801,3801
2019-09-14,4586,4586
2019-09-15,5339,5339
2019-09-16,9345,9345
2019-09-17,10075,10075
2019-09-18,10400,10400
2019-09-19,10279,10279
2019-09-20,10527,10527
2019-09-21,9505,9505
2019-09-22,4287,4287
2019-09-23,9788,9788
2019-09-24,10780,10780
2019-09-25,10926,10926
2019-09-26,11045,11045
2019-09-27,11081,11081
2019-09-28,11990,11990
2019-09-29,9033,9033
2019-09-30,9802,9802
2019-10-01,10346,10346
2019-10-02,9883,9883
2019-10-03,7363,7363
2019-10-04,10423,10423
2019-10-05,10740,10740
2019-10-06,6576,6576
2019-10-07,8947,8947
2019-10-08,11065,11065
2019-10-09,9573,9573
2019-10-10,10288,10288
2019-10-11,10742,10742
2019-10-12,10817,10817
2019-10-13,7029,7029
2019-10-14,10046,10046
2019-10-15,10875,10875
2019-10-16,10536,10536
2019-10-17,10756,10756
2019-10-18,11669,11669
2019-10-19,11789,11789
2019-10-20,7894,7894
2019-10-21,10037,10037
2019-10-22,10939,10939
2019-10-23,10672,10672
2019-10-24,10889,10889
2019-10-25,11531,11531
2019-10-26,11571,11571
2019-10-27,7856,7856
2019-10-28,10603,10603
2019-10-29,10797,10797
2019-10-30,11313,11313
2019-10-31,10840,10840
2019-11-01,11204,11204
2019-11-02,10973,10973
2019-11-03,7861,7861
2019-11-04,10691,10691
2019-11-05,10913,10913
2019-11-06,11043,11043
2019-11-07,11310,11310
2019-11-08,12119,12119
2019-11-09,12402,12402
2019-11-10,8320,8320
2019-11-11,10375,10375
2019-11-12,10886,10886
2019-11-13,10268,10268
2019-11-14,10579,10579
2019-11-15,10144,10144
2019-11-16,9698,9698
2019-11-17,4663,4663
2019-11-18,9867,9867
2019-11-19,10219,10219
2019-11-20,10260,10260
2019-11-21,10975,10975
2019-11-22,10971,10971
2019-11-23,9810,9810
2019-11-24,5697,5697
2019-11-25,9586,9586
2019-11-26,10387,10387
2019-11-27,10326,10326
2019-11-28,10439,10439
2019-11-29,10621,10621
2019-11-30,8403,8403
2019-12-01,4934,4934
2019-12-02,9643,9643
2019-12-03,10045,10045
2019-12-04,10507,10507
2019-12-05,10158,10158
2019-12-06,9953,9953
2019-12-07,7456,7456
2019-12-08,5222,5222
2019-12-09,9259,9259
2019-12-10,10158,10158
2019-12-11,9949,9949
2019-12-12,10459,10459
2019-12-13,10372,10372
2019-12-14,8413,8413
2019-12-15,5406,5406
2019-12-16,9746,9746
2019-12-17,10094,10094
2019-12-18,10355,10355
2019-12-19,10263,10263
2019-12-20,10791,10791
2019-12-21,8016,8016
2019-12-22,5288,5288
2019-12-23,9563,9563
2019-12-24,10428,10428
2019-12-25,5669,5669
2019-12-26,9804,9804
2019-12-27,9844,9844
2019-12-28,6915,6915
2019-12-29,4935,4935
2019-12-30,8734,8734
2019-12-31,7794,7794
2020-01-01,2832,2832
2020-01-02,9457,9457
2020-01-03,9767,9767
2020-01-04,6760,6760
2020-01-05,4329,4329
2020-01-06,9433,9433
2020-01-07,9269,9269
2020-01-08,9807,9807
2020-01-09,9888,9888
2020-01-10,9967,9967
2020-01-11,6826,6826
2020-01-12,4480,4480
2020-01-13,9252,9252
2020-01-14,9761,9761
2020-01-15,10457,10457
2020-01-16,10031,10031
2020-01-17,10032,10032
2020-01-18,7161,7161
2020-01-19,4235,4235
2020-01-20,9374,9374
2020-01-21,10078,10078
2020-01-22,9759,9759
2020-01-23,8567,8567
2020-01-24,2615,2615
2020-01-25,2163,2163
2020-01-26,3371,3371
2020-01-27,3479,3479
2020-01-28,8760,8760
2020-01-29,9547,9547
2020-01-30,9493,9493
2020-01-31,9445,9445
2020-02-01,5867,5867
2020-02-02,3777,3777
2020-02-03,8463,8463
2020-02-04,9046,9046
2020-02-05,8910,8910
2020-02-06,8806,8806
2020-02-07,9174,9174
2020-02-08,5989,5989
2020-02-09,3799,3799
2020-02-10,8710,8710
2020-02-11,9650,9650
2020-02-12,9156,9156
2020-02-13,9381,9381
2020-02-14,9935,9935
2020-02-15,6931,6931
2020-02-16,3964,3964
2020-02-17,9109,9109
2020-02-18,9370,9370
2020-02-19,9494,9494
2020-02-20,9297,9297
2020-02-21,8441,8441
2020-02-22,4925,4925
2020-02-23,3240,3240
2020-02-24,7653,7653
2020-02-25,7255,7255
2020-02-26,7378,7378
2020-02-27,7258,7258
2020-02-28,6746,6746
2020-02-29,3662,3662
2020-03-01,2179,2179
2020-03-02,6819,6819
2020-03-03,7041,7041
2020-03-04,6931,6931
2020-03-05,6863,6863
2020-03-06,6925,6925
2020-03-07,3937,3937
2020-03-08,3149,3149
2020-03-09,7301,7301
2020-03-10,6839,6839
2020-03-11,7506,7506
2020-03-12,7378,7378
2020-03-13,7295,7295
2020-03-14,4497,4497
2020-03-15,2538,2538
2020-03-16,7012,7012
2020-03-17,7121,7121
2020-03-18,7503,7503
2020-03-19,6804,6804
2020-03-20,7735,7735
2020-03-21,5454,5454
2020-03-22,4165,4165
2020-03-23,7630,7630
2020-03-24,7942,7942
2020-03-25,8301,8301
2020-03-26,7564,7564
2020-03-27,8018,8018
2020-03-28,6220,6220
2020-03-29,4862,4862
2020-03-30,8082,8082
2020-03-31,8607,8607
2020-04-01,8544,8544
2020-04-02,9010,9010
2020-04-03,9559,9559
2020-04-04,8699,8699
2020-04-05,6035,6035
2020-04-06,8492,8492
2020-04-07,8697,8697
2020-04-08,8761,8761
2020-04-09,8411,8411
2020-04-10,8561,8561
2020-04-11,6383,6383
2020-04-12,3866,3866
2020-04-13,8159,8159
2020-04-14,8461,8461
2020-04-15,5904,5904
2020-04-16,8632,8632
2020-04-17,7803,7803
2020-04-18,7275,7275
2020-04-19,3070,3070
2020-04-20,7711,7711
2020-04-21,8360,8360
2020-04-22,8130,8130
2020-04-23,8201,8201
2020-04-24,8827,8827
2020-04-25,7341,7341
2020-04-26,5471,5471
2020-04-27,8508,8508
2020-04-28,9101,9101
2020-04-29,9680,9680
2020-04-30,8044,8044
2020-05-01,6846,6846
2020-05-02,6860,6860
2020-05-03,5095,5095
2020-05-04,7946,7946
2020-05-05,6041,6041
2020-05-06,9503,9503
2020-05-07,9411,9411
2020-05-08,9133,9133
2020-05-09,4639,4639
2020-05-10,4640,4640
2020-05-11,8645,8645
2020-05-12,8906,8906
2020-05-13,9485,9485
2020-05-14,9206,9206
2020-05-15,8055,8055
2020-05-16,6289,6289
2020-05-17,4929,4929
2020-05-18,8144,8144
2020-05-19,8510,8510
2020-05-20,9506,9506
2020-05-21,9669,9669
2020-05-22,9461,9461
2020-05-23,8956,8956
2020-05-24,4805,4805
2020-05-25,9100,9100
2020-05-26,8986,8986
2020-05-27,9624,9624
2020-05-28,9285,9285
2020-05-29,9536,9536
2020-05-30,7818,7818
2020-05-31,4901,4901
2020-06-01,8787,8787
2020-06-02,8455,8455
2020-06-03,9071,9071
2020-06-04,9199,9199
2020-06-05,9577,9577
2020-06-06,6928,6928
2020-06-07,4776,4776
2020-06-08,8636,8636
2020-06-09,9045,9045
2020-06-10,9152,9152
2020-06-11,9153,9153
2020-06-12,9391,9391
2020-06-13,6412,6412
2020-06-14,4469,4469
2020-06-15,8604,8604
2020-06-16,9012,9012
2020-06-17,9409,9409
2020-06-18,9159,9159
2020-06-19,9350,9350
2020-06-20,7338,7338
2020-06-21,4567,4567
2020-06-22,8513,8513
2020-06-23,8973,8973
2020-06-24,8357,8357
2020-06-25,8914,8914
2020-06-26,9542,9542
2020-06-27,7307,7307
2020-06-28,5053,5053
2020-06-29,8657,8657
2020-06-30,8875,8875
2020-07-01,9687,9687
2020-07-02,9575,9575
2020-07-03,9922,9922
2020-07-04,7854,7854
2020-07-05,4960,4960
2020-07-06,9213,9213
2020-07-07,9627,9627
2020-07-08,9912,9912
2020-07-09,9783,9783
2020-07-10,9488,9488
