사용일자,2호선,합계
2019-01,948583,948583
2019-02,781531,781531
2019-03,949536,949536
2019-04,987223,987223
2019-05,995236,995236
2019-06,913888,913888
2019-07,999889,999889
2019-08,920709,920709
2019-09,877500,877500
2019-10,998237,998237
2019-11,985333,985333
2019-12,1002803,1002803
2020-01,934228,934228
2020-02,858954,858954
2020-03,796804,796804
2020-04,809760,809760
2020-05,833494,833494
2020-06,891213,891213
2020-07,967448,967448
2020-08,795950,795950
2020-09,775267,775267
2020-10,849401,849401
2020-11,891308,891308
2020-12,749676,749676
2021-01,777791,777791
2021-02,789894,789894
2021-03,977731,977731
2021-04,966970,966970
2021-05,930799,930799
2021-06,998575,998575
2021-07,906127,906127
2021-08,863896,863896
2021-09,864967,864967
2021-10,940244,940244
2021-11,1048250,1048250
2021-12,1035441,1035441
2022-01,980134,980134
2022-02,834344,834344
2022-03,941707,941707
2022-04,1052784,1052784
2022-05,1133557,1133557
2022-06,1070688,1070688
2022-07,1133703,1133703
2022-08,1100150,1100150
2022-09,1068640,1068640
2022-10,1129819,1129819
2022-11,1202518,1202518
2022-12,1248375,1248375
2023-01,1119738,1119738
2023-02,1179770,1179770
2023-03,1286995,1286995
2023-04,1207545,1207545
2023-05,1263653,1263653
2023-06,1217235,1217235
