사용일자,2호선,합계
2019-01-01,8445,8445
2019-01-02,35458,35458
2019-01-03,36981,36981
2019-01-04,37483,37483
2019-01-05,16689,16689
2019-01-06,10404,10404
2019-01-07,36860,36860
2019-01-08,37254,37254
2019-01-09,36827,36827
2019-01-10,37745,37745
2019-01-11,38364,38364
2019-01-12,16702,16702
2019-01-13,10482,10482
2019-01-14,35681,35681
2019-01-15,36875,36875
2019-01-16,37404,37404
2019-01-17,37914,37914
2019-01-18,38164,38164
2019-01-19,18134,18134
2019-01-20,11355,11355
2019-01-21,36857,36857
2019-01-22,37965,37965
2019-01-23,38147,38147
2019-01-24,38783,38783
2019-01-25,39115,39115
2019-01-26,20088,20088
2019-01-27,12043,12043
2019-01-28,37360,37360
2019-01-29,37491,37491
2019-01-30,37793,37793
2019-01-31,37720,37720
2019-02-01,35636,35636
2019-02-02,13060,13060
2019-02-03,7288,7288
2019-02-04,6008,6008
2019-02-05,5556,5556
2019-02-06,8836,8836
2019-02-07,34376,34376
2019-02-08,36597,36597
2019-02-09,16940,16940
2019-02-10,10452,10452
2019-02-11,36836,36836
2019-02-12,37689,37689
2019-02-13,38159,38159
2019-02-14,38608,38608
2019-02-15,40493,40493
2019-02-16,19183,19183
2019-02-17,12464,12464
2019-02-18,38114,38114
2019-02-19,38690,38690
2019-02-20,38584,38584
2019-02-21,38925,38925
2019-02-22,39002,39002
2019-02-23,21878,21878
2019-02-24,12662,12662
2019-02-25,37910,37910
2019-02-26,39309,39309
2019-02-27,38859,38859
2019-02-28,39417,39417
2019-03-01,17110,17110
2019-03-02,16176,16176
2019-03-03,12078,12078
2019-03-04,37507,37507
2019-03-05,37885,37885
2019-03-06,38343,38343
2019-03-07,38564,38564
2019-03-08,40033,40033
2019-03-09,19567,19567
2019-03-10,12112,12112
2019-03-11,37175,37175
2019-03-12,38207,38207
2019-03-13,38659,38659
2019-03-14,39134,39134
2019-03-15,39232,39232
2019-03-16,19612,19612
2019-03-17,13763,13763
2019-03-18,37993,37993
2019-03-19,38476,38476
2019-03-20,37972,37972
2019-03-21,39303,39303
2019-03-22,40353,40353
2019-03-23,20556,20556
2019-03-24,12763,12763
2019-03-25,37929,37929
2019-03-26,38797,38797
2019-03-27,38945,38945
2019-03-28,39560,39560
2019-03-29,40231,40231
2019-03-30,19622,19622
2019-03-31,11879,11879
2019-04-01,37872,37872
2019-04-02,38696,38696
2019-04-03,38485,38485
2019-04-04,39168,39168
2019-04-05,39647,39647
2019-04-06,19564,19564
2019-04-07,12911,12911
2019-04-08,37326,37326
2019-04-09,38257,38257
2019-04-10,38693,38693
2019-04-11,39309,39309
2019-04-12,41215,41215
2019-04-13,20888,20888
2019-04-14,12013,12013
2019-04-15,38707,38707
2019-04-16,38853,38853
2019-04-17,39295,39295
2019-04-18,38976,38976
2019-04-19,39970,39970
2019-04-20,19388,19388
2019-04-21,12285,12285
2019-04-22,38202,38202
2019-04-23,38382,38382
2019-04-24,39033,39033
2019-04-25,38667,38667
2019-04-26,39517,39517
2019-04-27,20647,20647
2019-04-28,13016,13016
2019-04-29,38365,38365
2019-04-30,39876,39876
2019-05-01,20290,20290
2019-05-02,39502,39502
2019-05-03,39844,39844
2019-05-04,19411,19411
2019-05-05,13111,13111
2019-05-06,16452,16452
2019-05-07,38924,38924
2019-05-08,39651,39651
2019-05-09,39415,39415
2019-05-10,40997,40997
2019-05-11,20729,20729
2019-05-12,12799,12799
2019-05-13,37477,37477
2019-05-14,39271,39271
2019-05-15,39840,39840
2019-05-16,38844,38844
2019-05-17,40272,40272
2019-05-18,20754,20754
2019-05-19,11607,11607
2019-05-20,38527,38527
2019-05-21,39162,39162
2019-05-22,39589,39589
2019-05-23,39018,39018
2019-05-24,40517,40517
2019-05-25,21013,21013
2019-05-26,13132,13132
2019-05-27,37383,37383
2019-05-28,39478,39478
2019-05-29,39151,39151
2019-05-30,39050,39050
2019-05-31,40026,40026
2019-06-01,19094,19094
2019-06-02,12521,12521
2019-06-03,37807,37807
2019-06-04,38459,38459
2019-06-05,39538,39538
2019-06-06,15964,15964
2019-06-07,34123,34123
2019-06-08,17978,17978
2019-06-09,11136,11136
2019-06-10,37005,37005
2019-06-11,38612,38612
2019-06-12,38698,38698
2019-06-13,38526,38526
2019-06-14,39627,39627
2019-06-15,19321,19321
2019-06-16,12441,12441
2019-06-17,37951,37951
2019-06-18,38264,38264
2019-06-19,38835,38835
2019-06-20,39528,39528
2019-06-21,39914,39914
2019-06-22,24887,24887
2019-06-23,12698,12698
2019-06-24,38677,38677
2019-06-25,39345,39345
2019-06-26,39172,39172
2019-06-27,39397,39397
2019-06-28,39728,39728
2019-06-29,20466,20466
2019-06-30,14176,14176
2019-07-01,38224,38224
2019-07-02,38703,38703
2019-07-03,38977,38977
2019-07-04,39266,39266
2019-07-05,39348,39348
2019-07-06,18574,18574
2019-07-07,12013,12013
2019-07-08,37125,37125
2019-07-09,39350,39350
2019-07-10,39334,39334
2019-07-11,39337,39337
2019-07-12,40369,40369
2019-07-13,18769,18769
2019-07-14,12043,12043
2019-07-15,37634,37634
2019-07-16,39152,39152
2019-07-17,39032,39032
2019-07-18,39051,39051
