사용일자,2호선,6호선,합계
2019-01,477055,278578,755633
2019-02,406745,226204,632949
2019-03,500048,296678,796726
2019-04,492072,295731,787803
2019-05,500852,298371,799223
2019-06,463157,275925,739082
2019-07,476937,279897,756834
2019-08,454282,256925,711207
2019-09,442585,257845,700430
2019-10,495596,294637,790233
2019-11,482553,286898,769451
2019-12,497472,298492,795964
2020-01,441298,249395,690693
2020-02,373545,229053,602598
2020-03,320541,188497,509038
2020-04,333287,183417,516704
2020-05,364049,200533,564582
2020-06,371059,214303,585362
2020-07,392623,227511,620134
2020-08,333309,182736,516045
2020-09,328278,186479,514757
2020-10,366200,203017,569217
2020-11,371522,213220,584742
2020-12,316909,176806,493715
2021-01,320244,174670,494914
2021-02,320065,170192,490257
2021-03,394207,222789,616996
2021-04,386281,221637,607918
2021-05,380465,215363,595828
2021-06,383567,222075,605642
2021-07,350589,208124,558713
2021-08,339706,199200,538906
2021-09,342187,204995,547182
2021-10,377760,223512,601272
2021-11,390838,227391,618229
2021-12,390768,238785,629553
2022-01,369683,213104,582787
2022-02,318663,183031,501694
2022-03,357064,203876,560940
2022-04,404123,233030,637153
2022-05,432543,248926,681469
2022-06,408275,235852,644127
2022-07,412208,233079,645287
2022-08,401198,226205,627403
2022-09,405344,237196,642540
2022-10,434196,250626,684822
2022-11,430203,245154,675357
2022-12,443642,258710,702352
2023-01,397827,218493,616320
2023-02,410028,225717,635745
2023-03,466673,257357,724030
2023-04,453089,254915,708004
2023-05,463792,262289,726081
2023-06,450961,257896,708857
