사용일자,2호선,6호선,합계
2019-01-01,7324,2771,10095
2019-01-02,16136,9721,25857
2019-01-03,16677,10947,27624
2019-01-04,17581,10977,28558
2019-01-05,13609,6782,20391
2019-01-06,9969,5467,15436
2019-01-07,16630,10350,26980
2019-01-08,16990,10489,27479
2019-01-09,16562,10541,27103
2019-01-10,16906,10250,27156
2019-01-11,17437,10522,27959
2019-01-12,13958,6664,20622
2019-01-13,10416,5470,15886
2019-01-14,16172,9656,25828
2019-01-15,16799,10272,27071
2019-01-16,16897,10544,27441
2019-01-17,17031,10165,27196
2019-01-18,17725,10567,28292
2019-01-19,14021,6746,20767
2019-01-20,10384,5557,15941
2019-01-21,16347,9799,26146
2019-01-22,17104,10168,27272
2019-01-23,17156,10364,27520
2019-01-24,16986,10018,27004
2019-01-25,17602,10674,28276
2019-01-26,14154,6899,21053
2019-01-27,10470,5431,15901
2019-01-28,16511,9858,26369
2019-01-29,17168,10124,27292
2019-01-30,17443,10850,28293
2019-01-31,16890,9935,26825
2019-02-01,17486,9832,27318
2019-02-02,11701,5307,17008
2019-02-03,7270,3014,10284
2019-02-04,6284,1827,8111
2019-02-05,5472,1896,7368
2019-02-06,7873,3257,11130
2019-02-07,15800,8481,24281
2019-02-08,16763,10215,26978
2019-02-09,13422,6239,19661
2019-02-10,10055,4917,14972
2019-02-11,16706,10243,26949
2019-02-12,17208,10441,27649
2019-02-13,17372,10702,28074
2019-02-14,17552,10543,28095
2019-02-15,17393,10670,28063
2019-02-16,14590,6939,21529
2019-02-17,10958,5325,16283
2019-02-18,16957,10338,27295
2019-02-19,17031,10420,27451
2019-02-20,17084,10198,27282
2019-02-21,17375,10232,27607
2019-02-22,17672,10469,28141
2019-02-23,14792,6423,21215
2019-02-24,10990,5372,16362
2019-02-25,16990,10615,27605
2019-02-26,17806,10682,28488
2019-02-27,17623,10849,28472
2019-02-28,18520,10758,29278
2019-03-01,13412,7182,20594
2019-03-02,13596,6103,19699
2019-03-03,10518,5587,16105
2019-03-04,17205,10951,28156
2019-03-05,17653,11134,28787
2019-03-06,17546,11508,29054
2019-03-07,18139,11325,29464
2019-03-08,18635,11360,29995
2019-03-09,15025,6555,21580
2019-03-10,11074,5398,16472
2019-03-11,17320,11050,28370
2019-03-12,17512,11345,28857
2019-03-13,17554,11281,28835
2019-03-14,17960,11579,29539
2019-03-15,18332,11773,30105
2019-03-16,15608,7404,23012
2019-03-17,12146,6707,18853
2019-03-18,17319,10960,28279
2019-03-19,17876,11476,29352
