사용일자,3호선,합계
2019-01,720050,720050
2019-02,623124,623124
2019-03,804929,804929
2019-04,845052,845052
2019-05,861412,861412
2019-06,757555,757555
2019-07,781827,781827
2019-08,774009,774009
2019-09,755817,755817
2019-10,927537,927537
2019-11,894389,894389
2019-12,852032,852032
2020-01,715857,715857
2020-02,536013,536013
2020-03,388776,388776
2020-04,426836,426836
2020-05,493441,493441
2020-06,512808,512808
2020-07,567847,567847
2020-08,438113,438113
2020-09,397827,397827
2020-10,531957,531957
2020-11,547301,547301
2020-12,363529,363529
2021-01,371185,371185
2021-02,410276,410276
2021-03,547983,547983
2021-04,530888,530888
2021-05,528565,528565
2021-06,539934,539934
2021-07,446054,446054
2021-08,434686,434686
2021-09,470617,470617
2021-10,559155,559155
2021-11,626793,626793
2021-12,545557,545557
2022-01,512241,512241
2022-02,428936,428936
2022-03,502417,502417
2022-04,629193,629193
2022-05,742161,742161
2022-06,674320,674320
2022-07,661076,661076
2022-08,628590,628590
2022-09,682512,682512
2022-10,854565,854565
2022-11,832973,832973
2022-12,780693,780693
2023-01,659911,659911
2023-02,716868,716868
2023-03,854913,854913
2023-04,837543,837543
2023-05,833461,833461
2023-06,775756,775756
