사용일자,3호선,합계
2019-01-01,11355,11355
2019-01-02,25244,25244
2019-01-03,26721,26721
2019-01-04,27430,27430
2019-01-05,18863,18863
2019-01-06,13041,13041
2019-01-07,25382,25382
2019-01-08,26464,26464
2019-01-09,25932,25932
2019-01-10,26099,26099
2019-01-11,26905,26905
2019-01-12,21270,21270
2019-01-13,12953,12953
2019-01-14,24657,24657
2019-01-15,24976,24976
2019-01-16,25937,25937
2019-01-17,26538,26538
2019-01-18,27366,27366
2019-01-19,20388,20388
2019-01-20,13152,13152
2019-01-21,24556,24556
2019-01-22,26115,26115
2019-01-23,26730,26730
2019-01-24,26936,26936
2019-01-25,27576,27576
2019-01-26,21034,21034
2019-01-27,13920,13920
2019-01-28,25100,25100
2019-01-29,25830,25830
2019-01-30,26808,26808
2019-01-31,24772,24772
2019-02-01,23822,23822
2019-02-02,14376,14376
2019-02-03,7716,7716
2019-02-04,10541,10541
2019-02-05,10931,10931
2019-02-06,13386,13386
2019-02-07,23303,23303
2019-02-08,25577,25577
2019-02-09,19799,19799
2019-02-10,13226,13226
2019-02-11,26068,26068
2019-02-12,27454,27454
2019-02-13,28872,28872
2019-02-14,27662,27662
2019-02-15,27964,27964
2019-02-16,21842,21842
2019-02-17,13511,13511
2019-02-18,25938,25938
2019-02-19,26953,26953
2019-02-20,26953,26953
2019-02-21,26723,26723
2019-02-22,28481,28481
2019-02-23,23972,23972
2019-02-24,15059,15059
2019-02-25,26863,26863
2019-02-26,27752,27752
2019-02-27,28587,28587
2019-02-28,29793,29793
2019-03-01,27579,27579
2019-03-02,20966,20966
2019-03-03,12869,12869
2019-03-04,25861,25861
2019-03-05,26518,26518
2019-03-06,27363,27363
2019-03-07,29211,29211
2019-03-08,30418,30418
2019-03-09,25306,25306
2019-03-10,16097,16097
2019-03-11,27522,27522
2019-03-12,27961,27961
2019-03-13,29178,29178
2019-03-14,29039,29039
2019-03-15,29252,29252
2019-03-16,25629,25629
2019-03-17,17274,17274
2019-03-18,28693,28693
2019-03-19,29618,29618
2019-03-20,28224,28224
2019-03-21,29894,29894
2019-03-22,31309,31309
2019-03-23,22908,22908
2019-03-24,17883,17883
2019-03-25,28361,28361
2019-03-26,29950,29950
2019-03-27,30110,30110
2019-03-28,30087,30087
2019-03-29,32224,32224
2019-03-30,21928,21928
2019-03-31,15697,15697
