사용일자,3호선,6호선,합계
2019-01,421459,119385,540844
2019-02,358381,99872,458253
2019-03,438564,120097,558661
2019-04,439947,122353,562300
2019-05,448120,124184,572304
2019-06,411426,112345,523771
2019-07,432319,119536,551855
2019-08,406991,113333,520324
2019-09,393854,109528,503382
2019-10,441004,123668,564672
2019-11,429358,120943,550301
2019-12,432008,124058,556066
2020-01,382622,110032,492654
2020-02,327228,94381,421609
2020-03,274895,79904,354799
2020-04,288979,82768,371747
2020-05,318826,90083,408909
2020-06,336778,93179,429957
2020-07,358295,98635,456930
2020-08,297181,81782,378963
2020-09,283219,78618,361837
2020-10,323478,89900,413378
2020-11,332336,92967,425303
2020-12,270120,77310,347430
2021-01,272827,77052,349879
2021-02,271144,76794,347938
2021-03,337260,95118,432378
2021-04,333539,94294,427833
2021-05,324294,92313,416607
2021-06,337665,95823,433488
2021-07,304719,87156,391875
2021-08,290815,82416,373231
2021-09,298252,82049,380301
2021-10,325817,94676,420493
2021-11,341981,98058,440039
2021-12,337937,95925,433862
2022-01,311990,89781,401771
2022-02,267920,77136,345056
2022-03,306072,86847,392919
2022-04,342363,96865,439228
2022-05,369058,105527,474585
2022-06,350050,100845,450895
2022-07,349846,102721,452567
2022-08,339634,98093,437727
2022-09,344497,96406,440903
2022-10,366665,103261,469926
2022-11,369277,103297,472574
2022-12,374356,107424,481780
2023-01,332833,95646,428479
2023-02,338721,99428,438149
2023-03,386330,111561,497891
2023-04,369979,107668,477647
2023-05,379113,110228,489341
2023-06,372486,107434,479920
