사용일자,3호선,6호선,합계
2019-01-01,5815,1538,7353
2019-01-02,14428,4119,18547
2019-01-03,15135,4309,19444
2019-01-04,15775,4618,20393
2019-01-05,10472,2896,13368
2019-01-06,7919,1879,9798
2019-01-07,15152,4503,19655
2019-01-08,15385,4757,20142
2019-01-09,15276,4510,19786
2019-01-10,15455,4596,20051
2019-01-11,16046,4685,20731
2019-01-12,10693,3060,13753
2019-01-13,7986,1913,9899
2019-01-14,15056,4254,19310
2019-01-15,15151,4302,19453
2019-01-16,15407,4440,19847
2019-01-17,15587,4630,20217
2019-01-18,16144,4639,20783
2019-01-19,10678,2944,13622
2019-01-20,8151,2050,10201
2019-01-21,15309,4402,19711
2019-01-22,15624,4489,20113
2019-01-23,15713,4409,20122
2019-01-24,15604,4417,20021
2019-01-25,16281,4510,20791
2019-01-26,11158,3015,14173
2019-01-27,8221,1972,10193
2019-01-28,15380,4384,19764
2019-01-29,15519,4545,20064
2019-01-30,15528,4377,19905
2019-01-31,15411,4223,19634
2019-02-01,14891,4396,19287
2019-02-02,8749,2464,11213
2019-02-03,5760,1520,7280
2019-02-04,4614,1280,5894
2019-02-05,5325,1292,6617
2019-02-06,6393,1502,7895
2019-02-07,14348,3967,18315
2019-02-08,15454,4222,19676
2019-02-09,10696,2913,13609
2019-02-10,7899,1955,9854
2019-02-11,15791,4394,20185
2019-02-12,16131,4494,20625
2019-02-13,16239,4516,20755
2019-02-14,16454,4523,20977
2019-02-15,16521,4731,21252
2019-02-16,11223,3077,14300
2019-02-17,8629,2127,10756
2019-02-18,15351,4524,19875
2019-02-19,15551,4349,19900
2019-02-20,15561,4343,19904
2019-02-21,15969,4512,20481
2019-02-22,16388,4681,21069
2019-02-23,12305,3545,15850
2019-02-24,8565,2165,10730
2019-02-25,15710,4632,20342
2019-02-26,16045,4610,20655
2019-02-27,15573,4501,20074
2019-02-28,16246,4637,20883
2019-03-01,9724,2450,12174
2019-03-02,10400,2825,13225
2019-03-03,8337,2053,10390
2019-03-04,16074,4536,20610
2019-03-05,16081,4691,20772
2019-03-06,16130,4306,20436
2019-03-07,16508,4599,21107
2019-03-08,17160,4962,22122
2019-03-09,11670,3175,14845
2019-03-10,8707,2213,10920
2019-03-11,16107,4537,20644
2019-03-12,16483,4576,21059
2019-03-13,16329,4466,20795
2019-03-14,16383,4573,20956
2019-03-15,17000,4579,21579
2019-03-16,11760,3176,14936
2019-03-17,9137,2364,11501
2019-03-18,16199,4501,20700
2019-03-19,16456,4629,21085
2019-03-20,16323,4347,20670
2019-03-21,16338,4550,20888
2019-03-22,17231,4766,21997
2019-03-23,11126,3165,14291
2019-03-24,8705,2258,10963
2019-03-25,16072,4394,20466
2019-03-26,16663,4634,21297
2019-03-27,16345,4466,20811
2019-03-28,16377,4550,20927
2019-03-29,17162,4715,21877
2019-03-30,11102,2960,14062
2019-03-31,8475,2081,10556
2019-04-01,16051,4502,20553
2019-04-02,16382,4573,20955
2019-04-03,16284,4546,20830
2019-04-04,16190,4501,20691
2019-04-05,16755,4673,21428
2019-04-06,11004,3025,14029
2019-04-07,9190,2302,11492
