사용일자,5호선,9호선,합계
2019-01-01,5305,4548,9853
2019-01-02,30474,24322,54796
2019-01-03,31309,25217,56526
2019-01-04,32649,26319,58968
2019-01-05,10486,8869,19355
2019-01-06,6645,6101,12746
2019-01-07,31764,25577,57341
2019-01-08,31445,25773,57218
2019-01-09,31655,25575,57230
2019-01-10,31903,26066,57969
2019-01-11,32122,26246,58368
2019-01-12,11154,9056,20210
2019-01-13,7016,6364,13380
2019-01-14,30984,24993,55977
2019-01-15,31604,25669,57273
2019-01-16,31517,25725,57242
2019-01-17,32273,26355,58628
2019-01-18,32398,26421,58819
2019-01-19,10947,9226,20173
2019-01-20,7094,6165,13259
2019-01-21,31555,25747,57302
2019-01-22,32214,26173,58387
2019-01-23,32621,26496,59117
2019-01-24,32547,26574,59121
2019-01-25,32769,26813,59582
2019-01-26,11724,9615,21339
2019-01-27,7304,6183,13487
2019-01-28,32170,26226,58396
2019-01-29,32509,26449,58958
2019-01-30,32839,26569,59408
2019-01-31,31776,26025,57801
2019-02-01,30166,24426,54592
2019-02-02,7170,6067,13237
2019-02-03,4742,4148,8890
2019-02-04,3992,3251,7243
2019-02-05,3519,3164,6683
2019-02-06,5321,5013,10334
2019-02-07,27650,22348,49998
2019-02-08,30355,24845,55200
2019-02-09,10136,8499,18635
2019-02-10,6651,5941,12592
2019-02-11,31868,25712,57580
2019-02-12,32135,26307,58442
2019-02-13,32369,26747,59116
2019-02-14,32323,26840,59163
2019-02-15,33955,27769,61724
2019-02-16,12243,10543,22786
2019-02-17,7478,6584,14062
2019-02-18,31585,26223,57808
2019-02-19,33481,27202,60683
2019-02-20,32412,26747,59159
2019-02-21,32706,27041,59747
2019-02-22,32679,27052,59731
2019-02-23,12671,10534,23205
2019-02-24,8110,7348,15458
2019-02-25,31938,25962,57900
2019-02-26,32606,27140,59746
2019-02-27,32810,27100,59910
2019-02-28,32427,26798,59225
2019-03-01,10290,8086,18376
2019-03-02,9197,7953,17150
2019-03-03,7395,6470,13865
2019-03-04,30702,25005,55707
2019-03-05,31659,25753,57412
2019-03-06,32297,26546,58843
2019-03-07,32798,26964,59762
2019-03-08,33195,27643,60838
2019-03-09,13010,10674,23684
2019-03-10,7865,7079,14944
2019-03-11,31875,26041,57916
2019-03-12,32489,26276,58765
2019-03-13,32485,26422,58907
2019-03-14,32144,26576,58720
2019-03-15,32442,26808,59250
2019-03-16,12984,10802,23786
2019-03-17,8324,7277,15601
2019-03-18,31910,26234,58144
2019-03-19,32402,26802,59204
2019-03-20,32269,26363,58632
2019-03-21,32429,26793,59222
