사용일자,2호선,3호선,합계
2019-01-01,7554,3221,10775
2019-01-02,26126,13105,39231
2019-01-03,26764,13341,40105
2019-01-04,27983,14304,42287
2019-01-05,12383,6910,19293
2019-01-06,9817,4011,13828
2019-01-07,26231,13627,39858
2019-01-08,26203,13482,39685
2019-01-09,26320,13623,39943
2019-01-10,26706,13508,40214
2019-01-11,27924,14587,42511
2019-01-12,13245,7422,20667
2019-01-13,9963,4367,14330
2019-01-14,25880,13427,39307
2019-01-15,26289,13495,39784
2019-01-16,27348,14136,41484
2019-01-17,26833,13882,40715
2019-01-18,28435,14410,42845
2019-01-19,13124,7596,20720
2019-01-20,10035,4379,14414
2019-01-21,26641,13676,40317
2019-01-22,27112,13851,40963
2019-01-23,27661,13957,41618
2019-01-24,27130,14092,41222
2019-01-25,28477,14994,43471
2019-01-26,13458,7544,21002
2019-01-27,10573,4334,14907
2019-01-28,26282,13542,39824
2019-01-29,26284,13509,39793
2019-01-30,27342,13751,41093
2019-01-31,26216,13559,39775
2019-02-01,25216,13065,38281
2019-02-02,9746,5154,14900
2019-02-03,7727,3066,10793
2019-02-04,4557,2164,6721
2019-02-05,3792,1834,5626
2019-02-06,6361,3128,9489
2019-02-07,24655,12798,37453
2019-02-08,26852,13555,40407
2019-02-09,13131,7095,20226
2019-02-10,10382,4100,14482
2019-02-11,26938,13864,40802
2019-02-12,27378,13711,41089
2019-02-13,28009,14252,42261
2019-02-14,27747,13755,41502
2019-02-15,28880,14665,43545
2019-02-16,13886,7814,21700
2019-02-17,10460,4314,14774
2019-02-18,26673,13715,40388
2019-02-19,26720,13891,40611
2019-02-20,27622,14233,41855
2019-02-21,27661,13994,41655
2019-02-22,27891,14520,42411
2019-02-23,14338,8372,22710
2019-02-24,10656,4583,15239
2019-02-25,26821,13722,40543
2019-02-26,27364,13959,41323
2019-02-27,28263,14288,42551
2019-02-28,27888,14727,42615
2019-03-01,12799,7147,19946
2019-03-02,12156,6676,18832
2019-03-03,9832,4255,14087
2019-03-04,25511,12991,38502
2019-03-05,26277,13210,39487
2019-03-06,27841,13999,41840
2019-03-07,27643,13816,41459
2019-03-08,29526,14620,44146
2019-03-09,14741,8040,22781
2019-03-10,11138,4501,15639
2019-03-11,26838,13740,40578
2019-03-12,26997,13622,40619
2019-03-13,27988,13994,41982
2019-03-14,27658,13661,41319
2019-03-15,28800,14605,43405
2019-03-16,14622,7961,22583
2019-03-17,11846,4900,16746
2019-03-18,27009,13577,40586
2019-03-19,27456,13544,41000
2019-03-20,27820,14066,41886
2019-03-21,28144,13920,42064
2019-03-22,28848,14854,43702
2019-03-23,14386,7934,22320
2019-03-24,11366,4687,16053
2019-03-25,26815,13476,40291
2019-03-26,27833,13736,41569
2019-03-27,28670,13915,42585
2019-03-28,27925,13983,41908
2019-03-29,29102,14309,43411
2019-03-30,13632,7438,21070
2019-03-31,10671,4180,14851
2019-04-01,26360,13440,39800
2019-04-02,26678,13387,40065
2019-04-03,27986,13764,41750
2019-04-04,27554,13710,41264
2019-04-05,28073,14106,42179
2019-04-06,13503,7097,20600
2019-04-07,11218,4345,15563
2019-04-08,26342,13411,39753
2019-04-09,26392,13374,39766
2019-04-10,27469,13680,41149
2019-04-11,27412,13788,41200
2019-04-12,28718,14133,42851
2019-04-13,14126,7786,21912
2019-04-14,10171,4061,14232
2019-04-15,26832,13649,40481
2019-04-16,26846,13419,40265
2019-04-17,27809,13970,41779
2019-04-18,26607,13485,40092
2019-04-19,28738,14356,43094
2019-04-20,14043,7927,21970
2019-04-21,11249,4600,15849
2019-04-22,26274,13332,39606
2019-04-23,26375,13424,39799
2019-04-24,27882,14148,42030
2019-04-25,26716,13878,40594
2019-04-26,28283,14400,42683
2019-04-27,15092,8414,23506
2019-04-28,11473,4622,16095
2019-04-29,27891,13845,41736
2019-04-30,29558,14986,44544
2019-05-01,15368,8548,23916
2019-05-02,27940,14197,42137
2019-05-03,29669,15112,44781
2019-05-04,15151,8161,23312
2019-05-05,12216,5433,17649
2019-05-06,9232,5133,14365
2019-05-07,26053,13389,39442
2019-05-08,27041,13624,40665
2019-05-09,27643,13877,41520
2019-05-10,30120,15718,45838
2019-05-11,16437,9148,25585
2019-05-12,11473,4876,16349
2019-05-13,26587,13541,40128
2019-05-14,27335,13664,40999
2019-05-15,28650,14350,43000
2019-05-16,27601,14185,41786
2019-05-17,29843,14887,44730
2019-05-18,16301,8745,25046
2019-05-19,10490,4314,14804
2019-05-20,26746,13595,40341
2019-05-21,27364,13893,41257
2019-05-22,28500,14415,42915
2019-05-23,28292,14429,42721
2019-05-24,30599,15393,45992
2019-05-25,16565,9147,25712
2019-05-26,11516,4848,16364
2019-05-27,26004,13349,39353
2019-05-28,27662,13984,41646
2019-05-29,28351,14413,42764
2019-05-30,27127,14064,41191
2019-05-31,30125,15258,45383
2019-06-01,15758,8617,24375
2019-06-02,11682,4818,16500
2019-06-03,26819,13640,40459
2019-06-04,26899,13676,40575
2019-06-05,29958,15216,45174
2019-06-06,10535,5598,16133
2019-06-07,24627,13084,37711
2019-06-08,14687,8114,22801
2019-06-09,10396,4130,14526
2019-06-10,26119,13284,39403
2019-06-11,26651,13677,40328
2019-06-12,27735,14111,41846
2019-06-13,27509,14029,41538
2019-06-14,29370,14951,44321
2019-06-15,15289,8129,23418
2019-06-16,11220,4625,15845
2019-06-17,27094,13482,40576
2019-06-18,26916,13646,40562
2019-06-19,28213,14281,42494
2019-06-20,28394,14220,42614
2019-06-21,29797,14966,44763
2019-06-22,15713,8689,24402
2019-06-23,12085,4842,16927
2019-06-24,27871,13994,41865
2019-06-25,28542,14536,43078
2019-06-26,28890,14448,43338
2019-06-27,28036,14064,42100
2019-06-28,30229,15085,45314
2019-06-29,15860,8323,24183
2019-06-30,11854,4647,16501
2019-07-01,26725,13700,40425
2019-07-02,27470,13700,41170
2019-07-03,28719,14364,43083
2019-07-04,28063,14315,42378
2019-07-05,29260,15117,44377
2019-07-06,15486,8142,23628
2019-07-07,11500,4609,16109
2019-07-08,27149,13802,40951
2019-07-09,28012,14330,42342
2019-07-10,28121,14005,42126
2019-07-11,27843,14217,42060
2019-07-12,29698,15422,45120
2019-07-13,14960,8028,22988
2019-07-14,11747,4715,16462
2019-07-15,26241,13600,39841
2019-07-16,27422,14010,41432
2019-07-17,28841,14385,43226
2019-07-18,28072,14110,42182
2019-07-19,29755,14782,44537
2019-07-20,13958,7202,21160
2019-07-21,10693,4300,14993
2019-07-22,27633,13903,41536
2019-07-23,27718,13794,41512
2019-07-24,27988,14096,42084
2019-07-25,27217,13564,40781
2019-07-26,27389,13840,41229
2019-07-27,13793,7411,21204
2019-07-28,9737,3935,13672
2019-07-29,26811,13692,40503
2019-07-30,27267,13579,40846
2019-07-31,25831,12961,38792
2019-08-01,25401,11933,37334
2019-08-02,26302,12381,38683
2019-08-03,12603,6388,18991
2019-08-04,10486,4049,14535
2019-08-05,25229,12980,38209
2019-08-06,26111,13011,39122
2019-08-07,26552,13569,40121
2019-08-08,27532,13614,41146
2019-08-09,28095,14424,42519
2019-08-10,13222,7201,20423
2019-08-11,10836,4497,15333
2019-08-12,25849,13252,39101
2019-08-13,27210,13602,40812
2019-08-14,28803,14663,43466
2019-08-15,10706,6070,16776
2019-08-16,24670,12768,37438
2019-08-17,13687,7266,20953
2019-08-18,11134,4564,15698
2019-08-19,27189,13807,40996
2019-08-20,27663,13938,41601
2019-08-21,28066,14195,42261
2019-08-22,27953,13999,41952
2019-08-23,29164,15161,44325
2019-08-24,15716,8526,24242
2019-08-25,11599,4940,16539
2019-08-26,27292,13780,41072
2019-08-27,27909,13925,41834
2019-08-28,28674,14332,43006
2019-08-29,27394,13762,41156
2019-08-30,29898,15095,44993
2019-08-31,15057,8788,23845
2019-09-01,11623,4754,16377
2019-09-02,27031,13727,40758
2019-09-03,27619,13891,41510
2019-09-04,27781,13852,41633
2019-09-05,26973,13526,40499
2019-09-06,28773,14349,43122
2019-09-07,9216,4988,14204
2019-09-08,11149,4669,15818
2019-09-09,27027,13745,40772
2019-09-10,26425,13498,39923
2019-09-11,25458,12809,38267
2019-09-12,5938,2782,8720
2019-09-13,5915,2496,8411
2019-09-14,8507,3938,12445
2019-09-15,10152,4218,14370
2019-09-16,25300,12815,38115
2019-09-17,26912,13682,40594
2019-09-18,28136,14272,42408
2019-09-19,28580,14362,42942
2019-09-20,30772,15495,46267
2019-09-21,16823,9423,26246
2019-09-22,10778,4311,15089
2019-09-23,27657,13995,41652
2019-09-24,28027,14184,42211
2019-09-25,29047,14384,43431
2019-09-26,28394,14233,42627
2019-09-27,30678,15709,46387
2019-09-28,16822,9644,26466
2019-09-29,12130,5318,17448
2019-09-30,27161,14099,41260
2019-10-01,27460,14110,41570
2019-10-02,29044,14756,43800
2019-10-03,14582,9209,23791
2019-10-04,27955,14348,42303
2019-10-05,16110,8907,25017
2019-10-06,12108,4987,17095
2019-10-07,26100,13514,39614
2019-10-08,29590,15386,44976
2019-10-09,13295,7897,21192
2019-10-10,27421,14123,41544
2019-10-11,30007,15396,45403
2019-10-12,15982,9115,25097
2019-10-13,12210,5094,17304
2019-10-14,27023,13779,40802
2019-10-15,27045,13895,40940
2019-10-16,28064,14258,42322
2019-10-17,27717,14162,41879
2019-10-18,29646,15341,44987
2019-10-19,17010,9448,26458
2019-10-20,12367,5369,17736
2019-10-21,27468,13911,41379
2019-10-22,27453,13895,41348
2019-10-23,28445,14346,42791
2019-10-24,28228,14396,42624
2019-10-25,30678,16000,46678
2019-10-26,17431,9554,26985
2019-10-27,13375,5636,19011
2019-10-28,28044,14154,42198
2019-10-29,28318,14525,42843
2019-10-30,28729,14858,43587
2019-10-31,28672,14757,43429
2019-11-01,29591,15254,44845
2019-11-02,16787,9296,26083
2019-11-03,12795,5357,18152
2019-11-04,27337,14256,41593
2019-11-05,27201,13956,41157
2019-11-06,29019,14616,43635
2019-11-07,27583,14186,41769
2019-11-08,29545,15379,44924
2019-11-09,16331,9482,25813
2019-11-10,11878,5148,17026
2019-11-11,26723,13834,40557
2019-11-12,27096,13825,40921
2019-11-13,27518,13953,41471
2019-11-14,27310,13889,41199
2019-11-15,28361,14938,43299
2019-11-16,17142,9465,26607
2019-11-17,11259,4804,16063
2019-11-18,27093,13904,40997
2019-11-19,26788,13650,40438
2019-11-20,28128,14349,42477
2019-11-21,27445,13940,41385
2019-11-22,29254,14880,44134
2019-11-23,15584,8467,24051
2019-11-24,11274,4619,15893
2019-11-25,26972,13858,40830
2019-11-26,27339,13853,41192
2019-11-27,28037,14373,42410
2019-11-28,28171,14308,42479
2019-11-29,29543,14986,44529
2019-11-30,15445,8598,24043
2019-12-01,10639,4397,15036
2019-12-02,26967,13907,40874
2019-12-03,26767,13550,40317
2019-12-04,27804,14154,41958
2019-12-05,27831,14462,42293
2019-12-06,29221,15033,44254
2019-12-07,17015,8727,25742
2019-12-08,11154,4722,15876
2019-12-09,27316,14101,41417
2019-12-10,27744,13944,41688
2019-12-11,28135,14589,42724
2019-12-12,28345,14621,42966
2019-12-13,29313,15889,45202
2019-12-14,16684,9017,25701
2019-12-15,11844,4853,16697
2019-12-16,27637,14430,42067
2019-12-17,27694,14591,42285
2019-12-18,29437,15010,44447
2019-12-19,28908,14800,43708
2019-12-20,30457,15748,46205
2019-12-21,17309,9281,26590
2019-12-22,12539,5288,17827
2019-12-23,28737,15037,43774
2019-12-24,31267,16878,48145
2019-12-25,15747,7224,22971
2019-12-26,27801,14468,42269
2019-12-27,29330,15799,45129
2019-12-28,15877,8868,24745
2019-12-29,12578,5077,17655
