사용일자,2호선,합계
2019-01,1526572,1526572
2019-02,1269666,1269666
2019-03,1539364,1539364
2019-04,1555157,1555157
2019-05,1575837,1575837
2019-06,1477504,1477504
2019-07,1584497,1584497
2019-08,1545671,1545671
2019-09,1441621,1441621
2019-10,1605692,1605692
2019-11,1572391,1572391
2019-12,1661233,1661233
2020-01,1453051,1453051
2020-02,1098245,1098245
2020-03,821652,821652
2020-04,856701,856701
2020-05,914569,914569
2020-06,1011850,1011850
2020-07,1084504,1084504
2020-08,885579,885579
2020-09,811414,811414
2020-10,929128,929128
2020-11,978833,978833
2020-12,813339,813339
2021-01,806409,806409
2021-02,799727,799727
2021-03,989467,989467
2021-04,972565,972565
2021-05,909895,909895
2021-06,996769,996769
2021-07,872323,872323
2021-08,823789,823789
2021-09,814763,814763
2021-10,897887,897887
2021-11,1030181,1030181
2021-12,1069622,1069622
2022-01,949451,949451
2022-02,775236,775236
2022-03,875572,875572
2022-04,995933,995933
2022-05,1127904,1127904
2022-06,1094676,1094676
2022-07,1157614,1157614
2022-08,1145026,1145026
2022-09,1146778,1146778
2022-10,1236570,1236570
2022-11,1309681,1309681
2022-12,1446828,1446828
2023-01,1219112,1219112
2023-02,1233400,1233400
2023-03,1397904,1397904
2023-04,1337778,1337778
2023-05,1364681,1364681
2023-06,1377317,1377317
