사용일자,2호선,합계
2019-01-01,21330,21330
2019-01-02,55436,55436
2019-01-03,57685,57685
2019-01-04,60018,60018
2019-01-05,35945,35945
2019-01-06,26370,26370
2019-01-07,54374,54374
2019-01-08,56224,56224
2019-01-09,54905,54905
2019-01-10,56056,56056
2019-01-11,58090,58090
2019-01-12,37116,37116
2019-01-13,27215,27215
2019-01-14,53576,53576
2019-01-15,55426,55426
2019-01-16,55974,55974
2019-01-17,57396,57396
2019-01-18,58643,58643
2019-01-19,37498,37498
2019-01-20,27842,27842
2019-01-21,54541,54541
2019-01-22,56590,56590
2019-01-23,57074,57074
2019-01-24,58781,58781
2019-01-25,60235,60235
2019-01-26,38607,38607
2019-01-27,28543,28543
2019-01-28,55757,55757
2019-01-29,56740,56740
2019-01-30,56570,56570
2019-01-31,56015,56015
2019-02-01,54574,54574
2019-02-02,29396,29396
2019-02-03,21300,21300
2019-02-04,15186,15186
2019-02-05,13186,13186
2019-02-06,23313,23313
2019-02-07,51746,51746
2019-02-08,56920,56920
2019-02-09,36913,36913
2019-02-10,28241,28241
2019-02-11,55212,55212
2019-02-12,56784,56784
2019-02-13,57659,57659
2019-02-14,58169,58169
2019-02-15,59266,59266
2019-02-16,38252,38252
2019-02-17,27544,27544
2019-02-18,55133,55133
2019-02-19,56192,56192
2019-02-20,57160,57160
2019-02-21,58165,58165
2019-02-22,60111,60111
2019-02-23,39575,39575
2019-02-24,28702,28702
2019-02-25,56576,56576
2019-02-26,57675,57675
2019-02-27,57356,57356
2019-02-28,59360,59360
2019-03-01,40235,40235
2019-03-02,34111,34111
2019-03-03,26310,26310
2019-03-04,48813,48813
2019-03-05,55679,55679
2019-03-06,57067,57067
2019-03-07,58220,58220
2019-03-08,62144,62144
2019-03-09,41370,41370
2019-03-10,30409,30409
2019-03-11,56322,56322
2019-03-12,57634,57634
2019-03-13,57855,57855
2019-03-14,58606,58606
2019-03-15,60183,60183
2019-03-16,40366,40366
2019-03-17,30304,30304
2019-03-18,56633,56633
2019-03-19,57950,57950
2019-03-20,57335,57335
2019-03-21,59048,59048
2019-03-22,61716,61716
2019-03-23,39854,39854
2019-03-24,29570,29570
2019-03-25,56452,56452
2019-03-26,58895,58895
2019-03-27,58606,58606
2019-03-28,59722,59722
2019-03-29,60371,60371
2019-03-30,38104,38104
2019-03-31,29480,29480
2019-04-01,56260,56260
2019-04-02,57776,57776
2019-04-03,58479,58479
2019-04-04,58763,58763
2019-04-05,60948,60948
2019-04-06,39268,39268
2019-04-07,29996,29996
2019-04-08,55220,55220
2019-04-09,56064,56064
2019-04-10,57671,57671
2019-04-11,58211,58211
2019-04-12,61207,61207
2019-04-13,40633,40633
2019-04-14,28036,28036
2019-04-15,51732,51732
2019-04-16,58305,58305
2019-04-17,58066,58066
2019-04-18,58141,58141
2019-04-19,60470,60470
2019-04-20,39054,39054
2019-04-21,28412,28412
2019-04-22,56087,56087
2019-04-23,56985,56985
2019-04-24,58047,58047
2019-04-25,57589,57589
2019-04-26,60722,60722
2019-04-27,40729,40729
2019-04-28,31462,31462
2019-04-29,58523,58523
2019-04-30,62301,62301
2019-05-01,38444,38444
2019-05-02,61200,61200
2019-05-03,63899,63899
2019-05-04,41507,41507
2019-05-05,32438,32438
2019-05-06,30032,30032
2019-05-07,55416,55416
2019-05-08,56679,56679
2019-05-09,58051,58051
2019-05-10,60739,60739
2019-05-11,39484,39484
2019-05-12,28814,28814
2019-05-13,55311,55311
2019-05-14,57967,57967
2019-05-15,58489,58489
2019-05-16,58586,58586
2019-05-17,60712,60712
2019-05-18,40014,40014
2019-05-19,27499,27499
2019-05-20,56422,56422
2019-05-21,58123,58123
2019-05-22,57910,57910
2019-05-23,58397,58397
2019-05-24,61348,61348
2019-05-25,40852,40852
2019-05-26,30784,30784
2019-05-27,51440,51440
2019-05-28,58372,58372
2019-05-29,58302,58302
2019-05-30,58069,58069
2019-05-31,60537,60537
2019-06-01,39990,39990
2019-06-02,28565,28565
2019-06-03,55460,55460
2019-06-04,57018,57018
2019-06-05,58840,58840
2019-06-06,32029,32029
2019-06-07,55124,55124
2019-06-08,38550,38550
2019-06-09,26674,26674
2019-06-10,54230,54230
2019-06-11,57066,57066
2019-06-12,57233,57233
2019-06-13,58450,58450
2019-06-14,60647,60647
2019-06-15,39056,39056
2019-06-16,28204,28204
2019-06-17,52078,52078
2019-06-18,57770,57770
2019-06-19,58754,58754
2019-06-20,60085,60085
2019-06-21,61595,61595
2019-06-22,41029,41029
2019-06-23,29924,29924
2019-06-24,58274,58274
2019-06-25,60130,60130
2019-06-26,59496,59496
2019-06-27,60182,60182
2019-06-28,61193,61193
2019-06-29,40135,40135
2019-06-30,29723,29723
2019-07-01,57049,57049
2019-07-02,57945,57945
2019-07-03,59011,59011
2019-07-04,58807,58807
2019-07-05,60646,60646
2019-07-06,39124,39124
2019-07-07,28946,28946
2019-07-08,55946,55946
2019-07-09,58082,58082
2019-07-10,57245,57245
2019-07-11,57848,57848
2019-07-12,59930,59930
2019-07-13,38678,38678
2019-07-14,30219,30219
2019-07-15,51376,51376
2019-07-16,58643,58643
2019-07-17,58174,58174
2019-07-18,59310,59310
2019-07-19,60048,60048
2019-07-20,36148,36148
2019-07-21,27324,27324
2019-07-22,56149,56149
2019-07-23,58048,58048
2019-07-24,56766,56766
2019-07-25,56495,56495
2019-07-26,56149,56149
2019-07-27,35675,35675
2019-07-28,25865,25865
2019-07-29,55548,55548
2019-07-30,56831,56831
2019-07-31,56472,56472
2019-08-01,57650,57650
2019-08-02,58336,58336
2019-08-03,35322,35322
2019-08-04,26802,26802
2019-08-05,50148,50148
2019-08-06,56696,56696
2019-08-07,56240,56240
2019-08-08,57480,57480
2019-08-09,58986,58986
2019-08-10,36268,36268
2019-08-11,28683,28683
2019-08-12,54894,54894
2019-08-13,58835,58835
2019-08-14,58337,58337
2019-08-15,33469,33469
2019-08-16,53799,53799
2019-08-17,35527,35527
2019-08-18,27461,27461
2019-08-19,55241,55241
2019-08-20,58172,58172
2019-08-21,58415,58415
2019-08-22,59107,59107
2019-08-23,61461,61461
2019-08-24,38643,38643
2019-08-25,29515,29515
2019-08-26,58195,58195
2019-08-27,60198,60198
2019-08-28,60282,60282
2019-08-29,59508,59508
2019-08-30,61736,61736
2019-08-31,40265,40265
2019-09-01,29335,29335
2019-09-02,57536,57536
2019-09-03,59422,59422
2019-09-04,58325,58325
2019-09-05,59066,59066
2019-09-06,61495,61495
2019-09-07,28200,28200
2019-09-08,30287,30287
2019-09-09,57629,57629
2019-09-10,57199,57199
2019-09-11,55007,55007
2019-09-12,19015,19015
2019-09-13,17511,17511
2019-09-14,28484,28484
2019-09-15,26413,26413
2019-09-16,53460,53460
2019-09-17,57601,57601
2019-09-18,58707,58707
2019-09-19,60013,60013
2019-09-20,62892,62892
2019-09-21,42091,42091
2019-09-22,29118,29118
2019-09-23,58478,58478
2019-09-24,60341,60341
2019-09-25,59579,59579
2019-09-26,60950,60950
2019-09-27,63337,63337
2019-09-28,41626,41626
2019-09-29,30915,30915
2019-09-30,57589,57589
2019-10-01,58407,58407
2019-10-02,59565,59565
2019-10-03,46126,46126
2019-10-04,59390,59390
2019-10-05,41288,41288
2019-10-06,30428,30428
2019-10-07,50955,50955
2019-10-08,59428,59428
2019-10-09,39092,39092
2019-10-10,57028,57028
2019-10-11,60732,60732
2019-10-12,39180,39180
2019-10-13,29941,29941
2019-10-14,56234,56234
2019-10-15,57500,57500
2019-10-16,57710,57710
2019-10-17,58135,58135
2019-10-18,59721,59721
2019-10-19,39871,39871
2019-10-20,29830,29830
