사용일자,6호선,합계
2019-01,535313,535313
2019-02,489440,489440
2019-03,574233,574233
2019-04,537260,537260
2019-05,580715,580715
2019-06,559303,559303
2019-07,537492,537492
2019-08,575710,575710
2019-09,516514,516514
2019-10,683728,683728
2019-11,550437,550437
2019-12,611246,611246
2020-01,489951,489951
2020-02,383204,383204
2020-03,295559,295559
2020-04,289051,289051
2020-05,221851,221851
2020-06,224044,224044
2020-07,271679,271679
2020-08,239623,239623
2020-09,216756,216756
2020-10,299033,299033
2020-11,266561,266561
2020-12,192786,192786
2021-01,204250,204250
2021-02,228845,228845
2021-03,286001,286001
2021-04,283911,283911
2021-05,295409,295409
2021-06,291635,291635
2021-07,230151,230151
2021-08,226215,226215
2021-09,264652,264652
2021-10,332234,332234
2021-11,327193,327193
2021-12,304341,304341
2022-01,278279,278279
2022-02,236100,236100
2022-03,281803,281803
2022-04,362641,362641
2022-05,424867,424867
2022-06,395570,395570
2022-07,414473,414473
2022-08,400290,400290
2022-09,426393,426393
2022-10,565392,565392
2022-11,303721,303721
2022-12,327796,327796
2023-01,287917,287917
2023-02,300133,300133
2023-03,371591,371591
2023-04,377504,377504
2023-05,390120,390120
2023-06,387948,387948
