사용일자,6호선,합계
2019-01-01,12188,12188
2019-01-02,15030,15030
2019-01-03,16292,16292
2019-01-04,22281,22281
2019-01-05,25595,25595
2019-01-06,13764,13764
2019-01-07,13790,13790
2019-01-08,14265,14265
2019-01-09,14274,14274
2019-01-10,15647,15647
2019-01-11,23196,23196
2019-01-12,27209,27209
2019-01-13,14048,14048
2019-01-14,13170,13170
2019-01-15,13876,13876
2019-01-16,14638,14638
2019-01-17,16268,16268
2019-01-18,23662,23662
2019-01-19,27007,27007
2019-01-20,14481,14481
2019-01-21,13997,13997
2019-01-22,15170,15170
2019-01-23,15252,15252
2019-01-24,15923,15923
2019-01-25,23490,23490
2019-01-26,27146,27146
2019-01-27,15247,15247
2019-01-28,14146,14146
2019-01-29,14257,14257
2019-01-30,14608,14608
2019-01-31,15396,15396
2019-02-01,21324,21324
2019-02-02,21658,21658
2019-02-03,13773,13773
2019-02-04,12657,12657
2019-02-05,12778,12778
2019-02-06,12108,12108
2019-02-07,14905,14905
2019-02-08,20832,20832
2019-02-09,23835,23835
2019-02-10,13728,13728
2019-02-11,13889,13889
2019-02-12,14322,14322
2019-02-13,15138,15138
2019-02-14,16900,16900
2019-02-15,23176,23176
2019-02-16,27281,27281
2019-02-17,14564,14564
2019-02-18,14589,14589
2019-02-19,14129,14129
2019-02-20,15103,15103
2019-02-21,16341,16341
2019-02-22,23499,23499
2019-02-23,28159,28159
2019-02-24,15821,15821
2019-02-25,14825,14825
2019-02-26,15612,15612
2019-02-27,15795,15795
2019-02-28,22699,22699
2019-03-01,27320,27320
2019-03-02,24946,24946
2019-03-03,13784,13784
2019-03-04,13755,13755
2019-03-05,13916,13916
2019-03-06,14694,14694
2019-03-07,17035,17035
2019-03-08,23956,23956
2019-03-09,27944,27944
2019-03-10,14920,14920
2019-03-11,14441,14441
2019-03-12,14433,14433
2019-03-13,15409,15409
2019-03-14,16746,16746
2019-03-15,22720,22720
2019-03-16,29054,29054
2019-03-17,15858,15858
2019-03-18,14588,14588
2019-03-19,14730,14730
2019-03-20,14187,14187
2019-03-21,16548,16548
2019-03-22,24534,24534
2019-03-23,26538,26538
2019-03-24,16039,16039
2019-03-25,14466,14466
2019-03-26,15392,15392
2019-03-27,15508,15508
2019-03-28,16661,16661
2019-03-29,24275,24275
2019-03-30,24941,24941
2019-03-31,14895,14895
2019-04-01,14131,14131
2019-04-02,14766,14766
2019-04-03,15570,15570
2019-04-04,16681,16681
2019-04-05,23707,23707
2019-04-06,25472,25472
2019-04-07,15591,15591
2019-04-08,14555,14555
2019-04-09,13771,13771
2019-04-10,14948,14948
2019-04-11,16230,16230
2019-04-12,23655,23655
2019-04-13,28048,28048
2019-04-14,13635,13635
2019-04-15,14386,14386
2019-04-16,14800,14800
2019-04-17,15656,15656
2019-04-18,15515,15515
2019-04-19,24043,24043
2019-04-20,26655,26655
2019-04-21,13802,13802
2019-04-22,14221,14221
2019-04-23,14035,14035
2019-04-24,15035,15035
2019-04-25,15671,15671
2019-04-26,23634,23634
2019-04-27,28908,28908
2019-04-28,15969,15969
2019-04-29,14877,14877
2019-04-30,19293,19293
2019-05-01,17844,17844
2019-05-02,17652,17652
2019-05-03,26154,26154
2019-05-04,28791,28791
2019-05-05,22859,22859
2019-05-06,14627,14627
2019-05-07,14152,14152
2019-05-08,14465,14465
2019-05-09,16261,16261
2019-05-10,24374,24374
2019-05-11,27706,27706
2019-05-12,15142,15142
2019-05-13,13786,13786
2019-05-14,14833,14833
2019-05-15,15176,15176
2019-05-16,16942,16942
2019-05-17,25055,25055
2019-05-18,28515,28515
2019-05-19,13170,13170
2019-05-20,14431,14431
2019-05-21,14854,14854
2019-05-22,15474,15474
2019-05-23,16429,16429
2019-05-24,24486,24486
2019-05-25,28568,28568
2019-05-26,15813,15813
2019-05-27,13503,13503
2019-05-28,14938,14938
2019-05-29,14932,14932
2019-05-30,16094,16094
2019-05-31,23689,23689
2019-06-01,28646,28646
2019-06-02,13802,13802
2019-06-03,14001,14001
2019-06-04,14574,14574
2019-06-05,22981,22981
2019-06-06,15681,15681
2019-06-07,20806,20806
2019-06-08,25698,25698
2019-06-09,12770,12770
2019-06-10,13537,13537
2019-06-11,14549,14549
2019-06-12,14982,14982
2019-06-13,16356,16356
2019-06-14,23239,23239
2019-06-15,26823,26823
2019-06-16,14306,14306
2019-06-17,14428,14428
2019-06-18,14401,14401
2019-06-19,15685,15685
2019-06-20,17820,17820
2019-06-21,25600,25600
2019-06-22,29350,29350
2019-06-23,15759,15759
2019-06-24,15587,15587
2019-06-25,16132,16132
2019-06-26,16191,16191
2019-06-27,17245,17245
2019-06-28,24920,24920
2019-06-29,27916,27916
2019-06-30,15518,15518
2019-07-01,14496,14496
2019-07-02,14681,14681
2019-07-03,15638,15638
2019-07-04,16888,16888
2019-07-05,24333,24333
2019-07-06,27278,27278
2019-07-07,14576,14576
2019-07-08,14124,14124
2019-07-09,14765,14765
2019-07-10,14979,14979
2019-07-11,16197,16197
2019-07-12,24632,24632
2019-07-13,27780,27780
2019-07-14,15583,15583
2019-07-15,13273,13273
2019-07-16,14666,14666
2019-07-17,15553,15553
2019-07-18,16445,16445
2019-07-19,24052,24052
2019-07-20,24646,24646
2019-07-21,13348,13348
2019-07-22,14262,14262
2019-07-23,14346,14346
2019-07-24,14622,14622
2019-07-25,15205,15205
2019-07-26,20421,20421
2019-07-27,24083,24083
2019-07-28,12410,12410
