사용일자,1호선,3호선,5호선,합계
2019-01,1036883,461486,537694,2036063
2019-02,880547,394756,462119,1737422
2019-03,1013274,439250,508963,1961487
2019-04,978482,433944,490401,1902827
2019-05,1030473,448608,523847,2002928
2019-06,957056,417939,469542,1844537
2019-07,1011157,439093,489540,1939790
2019-08,960538,420578,485066,1866182
2019-09,883926,381362,437066,1702354
2019-10,1017564,434833,527479,1979876
2019-11,959188,415660,480379,1855227
2019-12,1028622,444910,514721,1988253
2020-01,934675,393184,467170,1795029
2020-02,684877,308795,335146,1328818
2020-03,525826,257187,246378,1029391
2020-04,588845,265661,279548,1134054
2020-05,658709,284380,315104,1258193
2020-06,650165,301530,324966,1276661
2020-07,733402,338210,375341,1446953
2020-08,582316,261548,290203,1134067
2020-09,501303,241777,248713,991793
2020-10,618120,290683,327274,1236077
2020-11,617144,293219,311006,1221369
2020-12,450421,226266,208373,885060
2021-01,457168,224677,226314,908159
2021-02,498119,238870,263196,1000185
2021-03,635888,301854,332989,1270731
2021-04,619117,295665,328428,1243210
2021-05,617934,294228,342030,1254192
2021-06,625095,303273,339737,1268105
2021-07,564592,263859,284373,1112824
2021-08,552475,255421,280278,1088174
2021-09,549515,261280,290491,1101286
2021-10,629668,297524,341357,1268549
2021-11,651770,311214,362342,1325326
2021-12,609809,305381,338735,1253925
2022-01,596054,287145,328325,1211524
2022-02,505428,247655,272152,1025235
2022-03,562830,274028,306359,1143217
2022-04,641548,306721,362587,1310856
2022-05,714445,341946,416120,1472511
2022-06,682257,325731,384757,1392745
2022-07,692638,334579,387935,1415152
2022-08,655172,314263,372595,1342030
2022-09,674454,320060,386393,1380907
2022-10,738786,339981,434252,1513019
2022-11,712013,336685,412076,1460774
2022-12,737449,356484,445399,1539332
2023-01,663550,311414,380159,1355123
2023-02,696936,322384,394270,1413590
2023-03,778067,366069,437997,1582133
2023-04,720987,352414,431508,1504909
2023-05,748661,370253,454110,1573024
2023-06,716889,364966,440032,1521887
