사용일자,1호선,3호선,5호선,합계
2019-01-01,15762,7120,10662,33544
2019-01-02,33645,15232,17017,65894
2019-01-03,35959,16015,18095,70069
2019-01-04,38605,17121,19760,75486
2019-01-05,33937,14471,19920,68328
2019-01-06,19100,8168,11558,38826
2019-01-07,36525,15640,17568,69733
2019-01-08,36928,15976,17651,70555
2019-01-09,35115,15186,17379,67680
2019-01-10,37168,15731,18230,71129
2019-01-11,38967,16872,19769,75608
2019-01-12,37184,15189,19996,72369
2019-01-13,20328,8605,11354,40287
2019-01-14,34449,15677,16623,66749
2019-01-15,35496,15988,17059,68543
2019-01-16,35569,16292,17839,69700
2019-01-17,37381,16709,18404,72494
2019-01-18,39344,17999,20309,77652
2019-01-19,36827,15308,20578,72713
2019-01-20,20108,9068,12390,41566
2019-01-21,34946,15933,17278,68157
2019-01-22,35922,16044,18275,70241
2019-01-23,36201,16267,18686,71154
2019-01-24,36455,16680,18565,71700
2019-01-25,38756,18038,20106,76900
2019-01-26,36335,16024,20907,73266
2019-01-27,20703,9200,12318,42221
2019-01-28,34119,16170,17600,67889
2019-01-29,34120,16210,17423,67753
2019-01-30,35879,16573,17523,69975
2019-01-31,35050,15980,16852,67882
2019-02-01,35826,16604,17879,70309
2019-02-02,28472,11152,15844,55468
2019-02-03,14343,5737,8247,28327
2019-02-04,15061,6122,9725,30908
2019-02-05,11464,5005,7522,23991
2019-02-06,19985,8127,12142,40254
2019-02-07,33918,15814,16950,66682
2019-02-08,36032,16632,18408,71072
2019-02-09,34903,14418,18534,67855
2019-02-10,19810,8383,11229,39422
2019-02-11,35797,15976,17395,69168
2019-02-12,36540,16348,17930,70818
2019-02-13,36018,16257,18217,70492
2019-02-14,36870,16652,18243,71765
2019-02-15,36560,17797,19240,73597
2019-02-16,38049,16016,20634,74699
2019-02-17,21256,9050,12344,42650
2019-02-18,35103,16148,17514,68765
2019-02-19,32638,15782,16817,65237
2019-02-20,36514,16813,18138,71465
2019-02-21,37420,16853,18579,72852
2019-02-22,39227,18093,20146,77466
2019-02-23,40205,16090,21090,77385
2019-02-24,23112,9478,13267,45857
2019-02-25,35291,16649,18089,70029
2019-02-26,35702,16972,18582,71256
2019-02-27,35598,17326,18715,71639
2019-02-28,38833,18462,20699,77994
2019-03-01,38116,15709,23199,77024
2019-03-02,32306,13784,18387,64477
2019-03-03,19933,7674,10880,38487
2019-03-04,32642,14648,15227,62517
2019-03-05,31963,14378,15084,61425
2019-03-06,32577,15172,15839,63588
2019-03-07,35063,15866,17098,68027
2019-03-08,38219,17376,19014,74609
2019-03-09,39732,15242,20605,75579
2019-03-10,21062,8496,11449,41007
2019-03-11,33972,15098,16348,65418
2019-03-12,33235,15100,16180,64515
2019-03-13,34394,15432,16897,66723
2019-03-14,34690,15565,16521,66776
2019-03-15,36279,16207,18327,70813
2019-03-16,37897,14934,19332,72163
2019-03-17,22771,8839,12469,44079
2019-03-18,33944,15330,16335,65609
2019-03-19,34594,15481,16686,66761
2019-03-20,33181,14986,16207,64374
2019-03-21,35323,15507,17111,67941
2019-03-22,37404,17209,18879,73492
2019-03-23,35222,13494,17445,66161
2019-03-24,20975,8513,11848,41336
2019-03-25,33074,15097,15628,63799
2019-03-26,34871,15147,16735,66753
2019-03-27,34217,15735,16619,66571
2019-03-28,35608,15654,17151,68413
2019-03-29,36537,16958,18629,72124
2019-03-30,33630,12953,16596,63179
2019-03-31,19843,7666,10238,37747
2019-04-01,32570,14810,15739,63119
2019-04-02,33957,15227,16137,65321
2019-04-03,34278,15535,16846,66659
2019-04-04,34773,15756,16910,67439
2019-04-05,35944,16566,18519,71029
2019-04-06,31918,12809,17002,61729
2019-04-07,20843,7965,11549,40357
2019-04-08,33639,14819,15952,64410
2019-04-09,32257,14710,15881,62848
