사용일자,3호선,4호선,합계
2019-01,0,935716,935716
2019-02,0,782882,782882
2019-03,0,1020586,1020586
2019-04,0,1060455,1060455
2019-05,0,1048954,1048954
2019-06,0,944918,944918
2019-07,0,957249,957249
2019-08,0,901657,901657
2019-09,0,928937,928937
2019-10,0,1048411,1048411
2019-11,0,1031672,1031672
2019-12,0,998439,998439
2020-01,0,850186,850186
2020-02,0,712581,712581
2020-03,0,599179,599179
2020-04,0,607306,607306
2020-05,0,644563,644563
2020-06,0,695217,695217
2020-07,0,720606,720606
2020-08,0,584101,584101
2020-09,0,580826,580826
2020-10,0,646391,646391
2020-11,0,676389,676389
2020-12,0,570763,570763
2021-01,0,547573,547573
2021-02,0,535759,535759
2021-03,0,684122,684122
2021-04,0,680126,680126
2021-05,0,642857,642857
2021-06,0,680132,680132
2021-07,0,609004,609004
2021-08,0,574221,574221
2021-09,0,579006,579006
2021-10,0,646137,646137
2021-11,0,720776,720776
2021-12,0,687997,687997
2022-01,0,612770,612770
2022-02,0,528311,528311
2022-03,0,655631,655631
2022-04,0,731572,731572
2022-05,0,795911,795911
2022-06,0,741091,741091
2022-07,0,709835,709835
2022-08,0,687612,687612
2022-09,0,788888,788888
2022-10,0,805247,805247
2022-11,0,843732,843732
2022-12,0,824950,824950
2023-01,0,689905,689905
2023-02,0,720692,720692
2023-03,0,913148,913148
2023-04,0,878815,878815
2023-05,0,911446,911446
2023-06,0,866661,866661
