사용일자,3호선,4호선,합계
2019-01-01,0,11795,11795
2019-01-02,0,35055,35055
2019-01-03,0,36220,36220
2019-01-04,0,37216,37216
2019-01-05,0,19567,19567
2019-01-06,0,11896,11896
2019-01-07,0,35672,35672
2019-01-08,0,35983,35983
2019-01-09,0,35203,35203
2019-01-10,0,36577,36577
2019-01-11,0,37131,37131
2019-01-12,0,20456,20456
2019-01-13,0,12863,12863
2019-01-14,0,35103,35103
2019-01-15,0,35840,35840
2019-01-16,0,35689,35689
2019-01-17,0,36593,36593
2019-01-18,0,37010,37010
2019-01-19,0,20398,20398
2019-01-20,0,12137,12137
2019-01-21,0,35115,35115
2019-01-22,0,35944,35944
2019-01-23,0,36005,36005
2019-01-24,0,36750,36750
2019-01-25,0,37893,37893
2019-01-26,0,21153,21153
2019-01-27,0,12422,12422
2019-01-28,0,35599,35599
2019-01-29,0,35526,35526
2019-01-30,0,36015,36015
2019-01-31,0,34890,34890
2019-02-01,0,33615,33615
2019-02-02,0,14932,14932
2019-02-03,0,8313,8313
2019-02-04,0,9296,9296
2019-02-05,0,11491,11491
2019-02-06,0,12731,12731
2019-02-07,0,32711,32711
2019-02-08,0,35000,35000
2019-02-09,0,20611,20611
2019-02-10,0,12369,12369
2019-02-11,0,36091,36091
2019-02-12,0,36792,36792
2019-02-13,0,36437,36437
2019-02-14,0,37032,37032
2019-02-15,0,37659,37659
2019-02-16,0,21398,21398
2019-02-17,0,12990,12990
2019-02-18,0,37932,37932
2019-02-19,0,37212,37212
2019-02-20,0,36282,36282
2019-02-21,0,37598,37598
2019-02-22,0,37778,37778
2019-02-23,0,23445,23445
2019-02-24,0,13998,13998
2019-02-25,0,36987,36987
2019-02-26,0,37085,37085
2019-02-27,0,37724,37724
2019-02-28,0,37373,37373
2019-03-01,0,18388,18388
2019-03-02,0,19131,19131
2019-03-03,0,12362,12362
2019-03-04,0,38645,38645
2019-03-05,0,39163,39163
2019-03-06,0,39737,39737
2019-03-07,0,41597,41597
2019-03-08,0,41390,41390
2019-03-09,0,24430,24430
2019-03-10,0,14675,14675
2019-03-11,0,40316,40316
2019-03-12,0,40551,40551
2019-03-13,0,40371,40371
2019-03-14,0,41630,41630
2019-03-15,0,41042,41042
2019-03-16,0,23696,23696
2019-03-17,0,15459,15459
2019-03-18,0,40285,40285
2019-03-19,0,40877,40877
2019-03-20,0,40780,40780
2019-03-21,0,42015,42015
2019-03-22,0,41646,41646
2019-03-23,0,23234,23234
2019-03-24,0,15179,15179
2019-03-25,0,40044,40044
2019-03-26,0,40909,40909
2019-03-27,0,40898,40898
2019-03-28,0,42122,42122
2019-03-29,0,42310,42310
2019-03-30,0,23341,23341
2019-03-31,0,14363,14363
2019-04-01,0,39450,39450
2019-04-02,0,40128,40128
2019-04-03,0,40238,40238
2019-04-04,0,41576,41576
2019-04-05,0,41020,41020
2019-04-06,0,23062,23062
2019-04-07,0,16641,16641
2019-04-08,0,39891,39891
2019-04-09,0,40099,40099
2019-04-10,0,40717,40717
2019-04-11,0,42116,42116
2019-04-12,0,41195,41195
2019-04-13,0,27511,27511
2019-04-14,0,14644,14644
