사용일자,6호선,합계
2019-01,297642,297642
2019-02,251308,251308
2019-03,312043,312043
2019-04,308797,308797
2019-05,320711,320711
2019-06,300348,300348
2019-07,301263,301263
2019-08,316590,316590
2019-09,281735,281735
2019-10,316074,316074
2019-11,314553,314553
2019-12,322829,322829
2020-01,275035,275035
2020-02,233457,233457
2020-03,186869,186869
2020-04,198319,198319
2020-05,198765,198765
2020-06,212865,212865
2020-07,250228,250228
2020-08,201469,201469
2020-09,185608,185608
2020-10,249348,249348
2020-11,227418,227418
2020-12,160769,160769
2021-01,167608,167608
2021-02,198487,198487
2021-03,252450,252450
2021-04,250232,250232
2021-05,240927,240927
2021-06,259573,259573
2021-07,215739,215739
2021-08,202223,202223
2021-09,221548,221548
2021-10,259627,259627
2021-11,271877,271877
2021-12,284852,284852
2022-01,266086,266086
2022-02,209975,209975
2022-03,230825,230825
2022-04,268587,268587
2022-05,312652,312652
2022-06,290424,290424
2022-07,298845,298845
2022-08,280603,280603
2022-09,310309,310309
2022-10,356007,356007
2022-11,284933,284933
2022-12,297405,297405
2023-01,273719,273719
2023-02,317746,317746
2023-03,372385,372385
2023-04,361147,361147
2023-05,363816,363816
2023-06,353742,353742
