사용일자,6호선,합계
2019-01-01,4946,4946
2019-01-02,10144,10144
2019-01-03,9709,9709
2019-01-04,10585,10585
2019-01-05,9159,9159
2019-01-06,5992,5992
2019-01-07,8263,8263
2019-01-08,9832,9832
2019-01-09,10702,10702
2019-01-10,9954,9954
2019-01-11,12016,12016
2019-01-12,10786,10786
2019-01-13,6231,6231
2019-01-14,9072,9072
2019-01-15,9428,9428
2019-01-16,10860,10860
2019-01-17,10682,10682
2019-01-18,12423,12423
2019-01-19,10933,10933
2019-01-20,7179,7179
2019-01-21,8134,8134
2019-01-22,9862,9862
2019-01-23,11649,11649
2019-01-24,10124,10124
2019-01-25,11704,11704
2019-01-26,10452,10452
2019-01-27,8064,8064
2019-01-28,8187,8187
2019-01-29,9937,9937
2019-01-30,10898,10898
2019-01-31,9735,9735
2019-02-01,10665,10665
2019-02-02,9172,9172
2019-02-03,4804,4804
2019-02-04,2441,2441
2019-02-05,3361,3361
2019-02-06,5662,5662
2019-02-07,10541,10541
2019-02-08,10901,10901
2019-02-09,10411,10411
2019-02-10,8132,8132
2019-02-11,8328,8328
2019-02-12,9138,9138
2019-02-13,9641,9641
2019-02-14,9671,9671
2019-02-15,10256,10256
2019-02-16,10087,10087
2019-02-17,6496,6496
2019-02-18,8310,8310
2019-02-19,9317,9317
2019-02-20,9545,9545
2019-02-21,9692,9692
2019-02-22,11314,11314
2019-02-23,12725,12725
2019-02-24,9994,9994
2019-02-25,8535,8535
2019-02-26,10562,10562
2019-02-27,10524,10524
2019-02-28,11083,11083
2019-03-01,9988,9988
2019-03-02,10838,10838
2019-03-03,7953,7953
2019-03-04,7841,7841
2019-03-05,9877,9877
2019-03-06,10524,10524
2019-03-07,10429,10429
2019-03-08,12227,12227
2019-03-09,11154,11154
2019-03-10,8890,8890
2019-03-11,8352,8352
2019-03-12,9800,9800
2019-03-13,10898,10898
2019-03-14,10722,10722
2019-03-15,11221,11221
2019-03-16,12212,12212
2019-03-17,8560,8560
2019-03-18,9019,9019
2019-03-19,9957,9957
2019-03-20,10109,10109
2019-03-21,9995,9995
2019-03-22,11547,11547
2019-03-23,11953,11953
2019-03-24,9120,9120
2019-03-25,8507,8507
2019-03-26,10107,10107
2019-03-27,10162,10162
2019-03-28,9842,9842
2019-03-29,11318,11318
2019-03-30,11549,11549
2019-03-31,7372,7372
2019-04-01,8547,8547
2019-04-02,10069,10069
2019-04-03,10736,10736
2019-04-04,10133,10133
2019-04-05,11234,11234
2019-04-06,11356,11356
2019-04-07,8285,8285
2019-04-08,8501,8501
2019-04-09,9651,9651
2019-04-10,10482,10482
2019-04-11,10451,10451
2019-04-12,12231,12231
2019-04-13,12686,12686
2019-04-14,7554,7554
2019-04-15,8702,8702
2019-04-16,10320,10320
2019-04-17,11369,11369
2019-04-18,10131,10131
2019-04-19,12250,12250
2019-04-20,12178,12178
2019-04-21,8150,8150
2019-04-22,9014,9014
2019-04-23,9944,9944
2019-04-24,11753,11753
2019-04-25,10196,10196
2019-04-26,11327,11327
2019-04-27,12681,12681
2019-04-28,8302,8302
2019-04-29,8992,8992
2019-04-30,11572,11572
2019-05-01,9774,9774
2019-05-02,10850,10850
2019-05-03,12617,12617
2019-05-04,12320,12320
2019-05-05,10158,10158
2019-05-06,9652,9652
2019-05-07,10144,10144
2019-05-08,9370,9370
2019-05-09,9692,9692
2019-05-10,11067,11067
2019-05-11,10903,10903
2019-05-12,7269,7269
2019-05-13,8740,8740
2019-05-14,11815,11815
2019-05-15,10724,10724
2019-05-16,10911,10911
2019-05-17,12292,12292
2019-05-18,11421,11421
2019-05-19,6955,6955
2019-05-20,9694,9694
2019-05-21,10392,10392
2019-05-22,11002,11002
2019-05-23,10446,10446
2019-05-24,12170,12170
2019-05-25,11488,11488
2019-05-26,7691,7691
2019-05-27,8025,8025
2019-05-28,10696,10696
2019-05-29,10533,10533
2019-05-30,10349,10349
2019-05-31,11551,11551
2019-06-01,11535,11535
2019-06-02,6465,6465
2019-06-03,8732,8732
2019-06-04,10287,10287
2019-06-05,11718,11718
2019-06-06,10008,10008
2019-06-07,9501,9501
2019-06-08,10575,10575
2019-06-09,5626,5626
2019-06-10,8436,8436
2019-06-11,10016,10016
2019-06-12,10506,10506
2019-06-13,10388,10388
2019-06-14,12625,12625
2019-06-15,12741,12741
2019-06-16,8057,8057
2019-06-17,8737,8737
2019-06-18,9552,9552
2019-06-19,11469,11469
2019-06-20,10726,10726
2019-06-21,11984,11984
2019-06-22,11090,11090
2019-06-23,6901,6901
2019-06-24,9181,9181
2019-06-25,10431,10431
2019-06-26,11216,11216
2019-06-27,10476,10476
2019-06-28,11864,11864
2019-06-29,11606,11606
2019-06-30,7899,7899
2019-07-01,8685,8685
2019-07-02,10076,10076
2019-07-03,11258,11258
2019-07-04,10794,10794
2019-07-05,11636,11636
2019-07-06,10986,10986
2019-07-07,7000,7000
2019-07-08,8960,8960
2019-07-09,10400,10400
2019-07-10,11754,11754
2019-07-11,10453,10453
2019-07-12,12629,12629
2019-07-13,10776,10776
2019-07-14,8642,8642
2019-07-15,8794,8794
2019-07-16,10025,10025
2019-07-17,10220,10220
2019-07-18,10285,10285
2019-07-19,11024,11024
2019-07-20,9025,9025
2019-07-21,6012,6012
2019-07-22,8913,8913
2019-07-23,9942,9942
2019-07-24,10110,10110
2019-07-25,9807,9807
2019-07-26,9970,9970
2019-07-27,8232,8232
2019-07-28,4973,4973
2019-07-29,9484,9484
2019-07-30,10445,10445
2019-07-31,9953,9953
2019-08-01,10288,10288
2019-08-02,11689,11689
2019-08-03,9786,9786
2019-08-04,6682,6682
2019-08-05,8310,8310
2019-08-06,9931,9931
